generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.38189999999999996,True,0.0,0.2681,0.7325,59.2,0.0,0.3456666666666667,0.12531338493730207,2.0880246550852224,0.40054264409557855,2.4501318366625844,1.345167881507462,0.505758800747207,0.35016063299102096,0.6178169880434087,0.8082913246171178,0.0
1,0.38465,True,0.0,0.2149,0.795,60.15,0.0,0.29452413678152256,0.1663814016342688,1.9470183440523272,0.44009993482891663,2.317228971501978,1.1393475095998815,0.3803943958757451,0.35802030104735433,0.5122357589605125,0.7857270760825308,0.05
2,0.47285,True,0.0,0.28829999999999995,0.867,52.4,0.0,0.3949056303742714,0.016420102296672855,1.950376895053692,0.2655129014987889,1.8849713395104473,0.7521868904057607,0.37297856922440487,0.2617858790372739,0.3883074019247256,0.7888619254878472,0.05
3,0.3238,False,0.0,0.3358,0.5332,55.35,0.0,0.39717172515355176,0.023055488621054148,2.4554855570815755,0.4451496817989895,3.2790653703017734,1.3586859763422332,0.7378874922881561,0.30619375417462263,1.2035826833346548,0.8635970279097731,0.05
4,0.38175000000000003,False,0.0,0.207,0.8716999999999999,78.8,0.0,0.2620990785112213,0.1954973461489759,1.8826392523154916,0.31560364822996256,1.9644356252152033,0.8409964212999723,0.3384835614779898,0.33469329391902636,0.39872626011838563,0.7352528572290865,0.05
5,0.36775,False,0.0,0.1931,0.8624,80.0,0.0,0.2785332139094051,0.1693823955611149,1.8230113144762021,0.28821745491558637,1.9995627682827137,0.9390698316165325,0.3042719176819418,0.3212188098995997,0.25693914772909193,0.5272376452626939,0.05
6,0.4277500000000001,False,0.0,0.2669,0.8694000000000001,70.2,0.0,0.3773639639312963,0.12672484204509413,2.001509697853101,0.2768968176796155,1.9163894389542662,0.5779412019033517,0.39860700213609646,0.2867581265413417,0.34213364246077427,0.5684908310189847,0.05
7,0.41855,False,0.0,0.2129,0.8642,60.0,0.0,0.2739784633501235,0.17402808083224397,1.8453718086737627,0.26069368515624347,1.9631421127924658,0.9162435400151782,0.333714647666367,0.3082053037353033,0.3421623340859719,0.6845924360874223,0.05
8,0.42069999999999996,False,0.0,0.2932,0.8664,79.55,0.0,0.38407481451747905,0.13337273780157155,2.042363368934009,0.3868919311956028,2.02672013143572,1.0220453160416296,0.4062549116744715,0.2903214779857134,0.3926482218515407,0.7852984006472024,0.05
9,0.39699999999999996,False,0.0,0.3015,0.7453,63.2,0.0,0.36764396438184216,0.11945307518569975,2.084323244205419,0.4173865685060323,2.36030579140055,1.0914130984872639,0.5148125129045602,0.3730782425018658,0.7406861647445531,0.9194347173692364,0.05
10,0.37024999999999997,False,0.0,0.312,0.7485,80.0,0.0,0.37717661525970164,0.12692794540894195,2.11340238136653,0.3587534832799232,2.3685135367560037,1.0488407803763358,0.5360837163214602,0.35764605801773564,0.6732277429366836,0.8304601052587053,0.05
11,0.42194999999999994,False,0.0,0.2847,0.7991999999999999,60.0,0.0,0.34924879097408656,0.11794778532977408,2.0202483793054724,0.3480977218617789,1.956110320890005,0.6777381106296078,0.4330926235319219,0.30434193003972954,0.418870868877346,0.6795971777764521,0.05
12,0.39690000000000003,False,0.0,0.2772,0.797,70.1,0.0,0.3532126144896028,0.12543218412089652,2.0930335620112386,0.40389113838848534,2.363164795114552,1.3447542387507878,0.4384782927161778,0.27266842569819966,0.5959143226518042,0.9010081401996698,0.05
13,0.3379,False,0.0,0.3558,0.5424,55.6,0.0,0.4160150869144423,0.023969888517795742,2.410778326414664,0.38573991323230444,2.9767107660868297,1.0772309138633542,0.7481515587948476,0.29383508316406787,1.2122891193729344,0.8670056049734035,0.05
14,0.3531,False,0.0,0.20590000000000003,0.8603,90.0,0.0,0.26573069558411533,0.16082714331743522,1.9140039649247786,0.3646913907029455,2.1617885687615854,1.2663438218311318,0.3246140069357033,0.30176635933546225,0.3595815979833662,0.7246674205423822,0.05
15,0.4758,True,0.0,0.33730000000000004,0.8139,49.9,0.0,0.4096760212870076,0.04389227421009296,2.164461590579776,0.42461014180018364,2.401755489698704,1.1816697932366267,0.5255156698074657,0.3176139876976842,0.6938785453320158,0.9208836385412277,0.05
16,0.30885000000000007,False,0.0,0.23959999999999998,0.7249000000000001,86.7,0.0,0.31069525369947393,0.15059066571028698,2.1494402363485223,0.5908894494332074,2.635600215903757,1.434777058839112,0.554214107112812,0.47633652817638905,0.7712937543768869,0.9573593777168438,0.05
17,0.47074999999999995,False,0.0,0.2164,0.9315,51.6,0.0,0.3225875119744013,0.15880538461274707,1.8298230169220904,0.2509719232433025,1.7684083306173164,0.7510030665038608,0.2759477516023604,0.25787476614090143,0.21318603786558046,0.6292926555425186,0.05
18,0.4396000000000001,False,0.0,0.1889,0.9303000000000001,60.0,0.0,0.23093785863815977,0.1783088194653135,1.7828986321042404,0.287592962034732,1.709399282087094,0.5629167033955749,0.2464699692462388,0.24928538933697372,0.1657408334076496,0.4972225002229489,0.05
19,0.41759999999999997,False,0.0,0.3171,0.8663000000000001,87.05,0.0,0.41190625805427017,0.011041588050034612,2.0633434576874548,0.29714163821404743,1.9715310422896597,0.9904959618266785,0.43144947703746456,0.2571638914548926,0.34812836189268587,0.7035945364495987,0.05
