generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.46019999999999994,True,0.0,0.3394,0.7888,51.95,0.0,0.3741666666666667,0.1448950769810118,2.2170045122783133,0.46264381863012904,2.3627763617221698,1.1735961146611402,0.5547562318944388,0.38863495685746874,0.628453600946455,0.8288144513113169,0.0
1,0.3962499999999999,False,0.0,0.2509,0.8215999999999999,70.0,0.0,0.3097601195409506,0.20427754802383385,2.0246141317433155,0.3918635621536199,2.1868924091267923,1.0937013854445086,0.42073412218561,0.38290704497726363,0.4741914074954144,0.7893413687507314,0.05
2,0.4594499999999999,False,0.0,0.33690000000000003,0.8219999999999998,60.0,0.0,0.40838891540481387,0.038755381506696246,2.0987299139147395,0.33410570411247303,2.109895094921027,0.962275823660853,0.46644678431124353,0.31725099894997455,0.3052160392713824,0.5251965903365368,0.05
3,0.44099999999999995,False,0.0,0.31839999999999996,0.8036,60.0,0.0,0.39486950428551715,0.05757827174383905,2.1046144387676913,0.26443150050694825,2.178027024509964,1.038017935254848,0.4535355654271015,0.3019635330683784,0.4394584371773222,0.7247562034682309,0.05
4,0.45344999999999996,False,0.0,0.33009999999999995,0.9304,88.4,0.0,0.408333503802198,0.1437965004888559,2.033333409529148,0.22331617789756963,1.7465464062719795,0.5609616407780218,0.40339116301587036,0.2128061352410191,0.15200000196331792,0.45600000588995376,0.05
5,0.37745000000000006,False,0.0,0.3189,0.6824,61.6,0.0,0.39026152224622607,0.12865291009632696,2.1940183794228085,0.3781021694213807,2.6850434978486524,1.2230827416714318,0.5803813711301967,0.35805189955292965,0.9298287749788445,0.9367464796340863,0.05
6,0.44445000000000007,False,0.0,0.3249000000000001,0.9464,95.6,0.0,0.4073565082420544,0.14088630107452993,2.036467731295829,0.2910983959041696,1.7646905489731768,0.6177573703715812,0.3717066746027574,0.25093108969472305,0.1706238432640304,0.5118715297920913,0.05
7,0.46535000000000004,True,0.0,0.3849,0.8818000000000001,84.0,0.0,0.4418537339484551,0.019829831623647824,2.1259501788891115,0.19997049611577786,1.928736358961362,0.7213470797420569,0.48529713048594714,0.23037081162440867,0.3259462009761641,0.652179546668535,0.05
8,0.42015,False,0.0,0.35519999999999996,0.8175000000000001,83.1,0.0,0.4263549166335322,0.03117899798493555,2.1518207991204905,0.31606796093402695,2.193032026907427,1.0453177282905843,0.4913872060945888,0.29216496477724935,0.5012660896055229,0.7759377390199805,0.05
9,0.4397,False,0.0,0.3123,0.9382999999999999,92.8,0.0,0.365735809063439,0.13433561886439696,1.9106918195660618,0.1330735707844688,1.6843350961088273,0.3907221737810166,0.34574697172732965,0.18838523851363614,0.15167879508375615,0.4550363852512684,0.05
10,0.46525,False,0.0,0.3329,0.873,68.85,0.0,0.4159297469601778,0.039910447348084035,1.9951574522197557,0.2095997599839114,2.0220235929949113,0.8632838855663253,0.42418737252861033,0.2547204623434598,0.3906850167440654,0.7852688998826993,0.05
11,0.46939999999999993,True,0.0,0.3217,0.9379,80.2,0.0,0.4094245100034949,0.03282782339440634,1.9895312692415636,0.25539879712510133,1.817584016028107,0.717628049976104,0.36294556654060617,0.2060483776906142,0.20578401602810675,0.6173520480843203,0.05
12,0.4527,False,0.0,0.3164,0.8737999999999999,71.2,0.0,0.37508628003387223,0.08608264973759444,2.0643707544712453,0.3477612786376744,2.097361229026493,1.0928795305731145,0.4266403406121748,0.2745937030345923,0.4019278956931598,0.8083446721340645,0.05
13,0.46170000000000005,False,0.0,0.3932,0.8902000000000001,90.0,0.0,0.436021648427236,0.03744700879040221,2.1188800117946776,0.26674895932171083,2.095141319798451,1.1874565090344869,0.4937912554806413,0.27739131333238953,0.34550798646511804,0.6910173124818598,0.05
14,0.4542,False,0.0,0.2684,1.0,90.0,0.0,0.3129102605125473,0.15526621911701477,1.9039174270887045,0.1582006045960422,1.5756000000000001,0.09117148677081013,0.26322747129005786,0.12245921455825018,3.391660648358055e-168,0.0,0.05
15,0.46529999999999994,False,0.0,0.2883,0.9522999999999999,77.5,0.0,0.321444937704806,0.1587190724616289,1.9341162224683128,0.3032196989654909,1.7575987703096256,0.6817394090802809,0.33387505763171005,0.2652077653995657,0.15451612762612615,0.4635483828783785,0.05
16,0.44545,False,0.0,0.3026,0.8283000000000001,60.0,0.0,0.334664394939542,0.15840584319070472,2.0575856531613197,0.3719672377461428,2.2558729810936144,1.0802028004386606,0.47033125455774816,0.362287086361248,0.5617460224774118,0.8641035342673746,0.05
17,0.43999999999999995,False,0.0,0.3198,0.8001999999999999,60.0,0.0,0.40556408304390723,0.04477571310958801,2.121119838774489,0.29389898893116223,2.381666138431453,1.3421526857750372,0.5078792860287924,0.32012620528506414,0.5638399141699679,0.8639528537973302,0.05
18,0.34685,False,0.0,0.26270000000000004,0.7253999999999999,73.6,0.0,0.28992550509238635,0.16496331229264408,2.0875885658282853,0.3343854344598074,2.553151226003422,1.2624237344176934,0.5338601270548434,0.36214320329293814,0.7252835314935637,0.8921263378782258,0.05
19,0.4326,False,0.0,0.362,0.8103999999999999,76.8,0.0,0.42534813049307385,0.035912705253763104,2.1799210972881973,0.3741762338149645,2.120451488501372,0.8980233395787576,0.5471007376688383,0.3268586286270703,0.4894390219290486,0.7489779809944539,0.05
20,0.4064499999999999,False,0.0,0.3125,0.8603999999999999,90.0,0.0,0.38675561720492624,0.029627811537749554,2.0989096205037194,0.32755181269901096,2.070344695695495,1.0880167736794908,0.3914653860608348,0.22825761014787677,0.3804604810668193,0.756440652960891,0.05
21,0.42479999999999996,False,0.0,0.3078,0.8618,80.0,0.0,0.3564352546803783,0.11538261355635625,2.095108261753251,0.3193511922484385,1.957421592473104,0.7470561518825496,0.4326466086345544,0.2629969263347851,0.3021999988275004,0.6144006478012982,0.05
22,0.3382,False,0.0,0.16949999999999998,0.8669,90.0,0.0,0.20019005100679785,0.19622370587345478,1.8355856856300186,0.30166524500147684,2.050029153862619,1.22942249998173,0.29586119991779175,0.32480683353007356,0.27999582052973593,0.6209554112651757,0.05
23,0.45250000000000007,False,0.0,0.265,1.0,90.0,0.0,0.2967178179225505,0.1962340339209381,1.8730033501527241,0.2222322285060495,1.5356,0.03768076432345817,0.27215173807178544,0.17357405498229767,1.1114132852055886e-163,0.0,0.05
24,0.398,False,0.0,0.3661,0.6331,50.8,0.0,0.40734955544773016,0.03255932324256983,2.2841003148191277,0.3854625215334247,2.9416996060369676,1.2014762131125614,0.6899289225312282,0.3555264387119554,0.8639238738119872,0.7327520584922501,0.05
25,0.3335,False,0.0,0.2709,0.6681,68.0,0.0,0.32057566794766934,0.15908881515297504,2.0714040460284875,0.35863063954660157,2.893325186231926,1.4728524588221428,0.5633778828410686,0.40279555466474004,0.9094625159179344,0.919855725528865,0.05
26,0.42950000000000005,False,0.0,0.219,1.0,90.0,0.0,0.24800700339612636,0.20068112598292706,1.8024221817828,0.19692983716838927,1.5302,0.04052357338636362,0.21905872674395713,0.15434252208940952,2.0701053765394846e-172,0.0,0.05
27,0.4439,False,0.0,0.34930000000000005,0.8760999999999999,84.4,0.0,0.37989604343885097,0.13102375959156234,2.094775833084739,0.34296821042403747,2.0322449298544782,0.9211747612211065,0.4751016661423361,0.3125695406552721,0.3259111349368536,0.6519224570490094,0.05
28,0.4216000000000001,False,0.0,0.2741,0.9303000000000001,90.3,0.0,0.364475753047197,0.11474089072839372,1.8803453875304832,0.19910380189113797,1.8920146494019257,0.9532673575618893,0.3242445007161504,0.22143893536902381,0.17181854261848328,0.48116127572024775,0.05
29,0.41525,False,0.0,0.3175,0.7529999999999999,60.0,0.0,0.38291129180185896,0.11732965614714957,2.07075103032532,0.2813838964489521,2.337965069259046,1.0282254003922424,0.5357235457446752,0.34508882797342566,0.5826777133711605,0.7520878403582075,0.05
30,0.4298500000000001,False,0.0,0.3516,0.8095000000000001,75.35,0.0,0.43249215345922504,0.02225109235770489,2.1107108780566946,0.24429426379904587,2.2282657511861994,1.1834681207157518,0.5245213145492913,0.28874134540963386,0.4678277275609283,0.7918035768112146,0.05
31,0.4269,False,0.0,0.257,0.8959999999999999,74.8,0.0,0.27915730555100554,0.18298000237238216,1.9268171527753826,0.3572651800742771,1.9363810690639824,0.7698803426645008,0.36472857532351244,0.3351887204883435,0.33271552014741046,0.6654320025095176,0.05
32,0.4784999999999999,True,0.0,0.32599999999999996,0.9349999999999999,76.0,0.0,0.39798267762053036,0.02688158552873847,2.012145301044976,0.1678976246633177,1.76111986467965,0.5556760961506979,0.36444498651777524,0.21016274203390525,0.1875729550914647,0.5627188652743941,0.05
33,0.4898499999999999,True,0.0,0.2845,0.9533999999999999,64.55,0.0,0.294863846543474,0.18307250195970265,1.9691335670004846,0.32075739137344444,1.7136012791551796,0.5008098022574099,0.3324180931801938,0.26210168708818904,0.16068639648280966,0.48205918944842907,0.05
34,0.43940000000000007,False,0.0,0.3458,0.7614000000000001,57.1,0.0,0.3362759586427134,0.10426798607568305,2.1732390813255424,0.35101211058167986,2.3858760076896735,1.0713973666085823,0.5494903614705409,0.3519996885755143,0.5955580836229245,0.7775189245154718,0.05
35,0.46490000000000004,False,0.0,0.3298,1.0,100.0,0.0,0.36500293365573255,0.12566436279331672,1.9488628073977403,0.16566934779574577,1.5626,0.07042471157200435,0.31741547923314906,0.12419440665937258,3.606632226365782e-131,1.0819896679097345e-130,0.05
36,0.44455,False,0.0,0.33430000000000004,0.8795999999999999,81.2,0.0,0.3529423502737691,0.128774777770052,2.089271613767999,0.30863000277101443,1.9331563366258067,0.9028030961317797,0.438034930458776,0.3009921653847416,0.24792070728090804,0.533282357336562,0.05
37,0.40125,False,0.0,0.33140000000000003,0.7993,82.05,0.0,0.3878597837249219,0.02638278756957527,2.171928390589717,0.30422030687907303,2.114448615811516,0.8231837780330469,0.47285400464444577,0.28819076310579333,0.5129755077664557,0.7860853544109189,0.05
38,0.39500000000000013,False,0.0,0.27230000000000004,0.8649000000000001,86.8,0.0,0.32410723070068376,0.16130354744757158,2.0178423641914303,0.34576317894721775,1.9698280333289522,0.9118742586893073,0.3903782444883622,0.31144654908392533,0.34669617917454654,0.6959556367170582,0.05
39,0.4917,True,0.0,0.3802,0.8655999999999999,65.6,0.0,0.39509523774646466,0.12541443640326547,2.1472312971740033,0.27337992754685464,1.984495639643514,0.8716327277096831,0.48365344238693825,0.24787847169151697,0.3527025933354361,0.7056089290603416,0.05
40,0.4719500000000001,False,0.0,0.32049999999999995,0.9562000000000002,83.2,0.0,0.37688772804771653,0.12813312773588656,1.957487240521432,0.3136919956295532,1.790603299224901,0.6499044577007145,0.35071064794156587,0.2560145427005135,0.1540133965457072,0.4620401896371216,0.05
41,0.52715,True,0.0,0.3868,0.9347,66.8,0.0,0.44351893375771834,0.0468223593311287,2.159409376629412,0.2743296645025348,1.8253981065435547,0.9211371994300253,0.4679126734323459,0.218311492867528,0.0778000000000003,0.23074566084760934,0.05
42,0.4246000000000001,False,0.0,0.2257,0.9419000000000001,79.6,0.0,0.25161838300154893,0.20173072733935224,1.8689517782332838,0.28358125417847474,1.7251413564993339,0.4841722873523653,0.2738659465467499,0.25188208553502334,0.15972410866747958,0.4791723260024387,0.05
43,0.43295,False,0.0,0.2659000000000001,1.0,100.0,0.0,0.3674924503288293,0.12805722117159876,1.8368410726823714,0.13872582288442378,1.5795444444469324,0.09126470048873808,0.25315866133157944,0.09765557779695452,6.469079286141079e-174,0.0,0.05
44,0.45114999999999994,False,0.0,0.2699,0.9353999999999999,75.75,0.0,0.31245354135823333,0.1784959056549951,1.9881499940695655,0.33079345716274905,2.0141718992399733,1.347858644000239,0.3567227153480869,0.24692721664218908,0.19999998965579374,0.5999999689673812,0.05
45,0.41589999999999994,False,0.0,0.30080000000000007,0.7966,66.4,0.0,0.3655659644942744,0.12351897127842941,2.021439337541078,0.2622540618399344,2.352482287346593,1.312945389121398,0.4605886462631067,0.30506704980030086,0.5591225328892943,0.859810297326917,0.05
46,0.40955,False,0.0,0.2666,0.7973,61.2,0.0,0.3229323658932164,0.15528815359538392,2.004278321777098,0.2938871294702586,2.311111179999554,1.129191621752015,0.46131551886729083,0.3409254686407827,0.45993426270434357,0.7232260563945005,0.05
47,0.43199999999999994,False,0.0,0.2719,0.8721,70.0,0.0,0.32216432057518635,0.1588501557552351,2.0071518409187292,0.32082105960874524,1.8941611316386233,0.7483558278297775,0.38341895244215685,0.31298580523793407,0.2604186919009887,0.5577141396021689,0.05
48,0.43735000000000007,False,0.0,0.31900000000000006,0.8069,62.8,0.0,0.37952383382293836,0.13265039747751622,2.0959203973133618,0.33233172031126335,2.299269232645018,1.1404009987700041,0.509532253839739,0.3543497867375044,0.5490174124767166,0.8479093616883124,0.05
49,0.4166999999999999,False,0.0,0.2496,0.9437999999999999,90.0,0.0,0.3038415222452557,0.19177047489900165,1.9076029619648058,0.30666471227180236,1.7717628010726796,0.7097170656941036,0.31807579395270347,0.28527991206631026,0.18330456486875854,0.5499136946062756,0.05
50,0.45175000000000004,False,0.0,0.2635,1.0,90.0,0.0,0.31921130741103454,0.15828859460622477,1.8500618108522637,0.1530149744061569,1.5867,0.1025573498097528,0.26356754301867114,0.1194689180629249,3.1587301206246396e-177,0.0,0.05
51,0.3983,False,0.0,0.32899999999999996,0.746,69.6,0.0,0.37436609520051456,0.13177384098616252,2.1498964004969476,0.3846161427593542,2.55268911172001,1.2923170716121808,0.5629120733439635,0.34229477036565775,0.6378747875511979,0.8440782569651408,0.05
52,0.4894,False,0.0,0.31889999999999996,0.9511,72.8,0.0,0.3491056019851457,0.1747986862648946,2.0561007325151675,0.33492796846181594,1.828956512076926,0.7051298695025296,0.36898425791198325,0.26267298720039567,0.079,0.23700000000000004,0.05
53,0.43054999999999993,False,0.0,0.30779999999999996,0.8240999999999999,67.7,0.0,0.35288953234932685,0.16949337941261455,2.102589914248912,0.4138445837438512,2.425116231005698,1.3671340413269732,0.4758095705466262,0.3640235315526748,0.4871522691267076,0.7473601880714061,0.05
54,0.4084,False,0.0,0.3124,0.8652000000000001,90.2,0.0,0.38552633653072454,0.12720396204044956,2.0735339789336846,0.3355531908684209,2.263684244289784,1.4612793255225363,0.42120124112079543,0.2699892625845665,0.36003543056779413,0.7255922115706267,0.05
55,0.41924999999999996,False,0.0,0.2475,0.951,90.0,0.0,0.291281749416857,0.18704768240440306,1.8906162327868414,0.30176753623983144,1.6535553089989556,0.33919597339397584,0.30360818075620966,0.266143811288438,0.07989999999999996,0.23969999999999989,0.05
56,0.4718,False,0.0,0.355,0.9454,89.2,0.0,0.43106911905160317,0.05016983414412274,2.023564066519038,0.2598310118702712,1.7889189442414213,0.6138688127580354,0.40930291177974387,0.22130842043879517,0.1671024624224174,0.5013073872672522,0.05
