generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.31006,True,0.0,0.23080000000000003,0.8029999999999999,46.2,0.0,0.3466336520618024,0.16565387079180904,2.0071960252076875,0.41398920884606955,2.2141027854982704,1.0549562803572428,0.39999948417548914,0.36765475363706984,0.6170472295930337,0.9251202824801721,0.0
1,0.26750999999999997,False,0.0,0.2303,0.732,56.65,0.0,0.3634455257372867,0.21372599731880787,2.205544476441321,0.6102287477603563,2.8000263917738546,1.6339290780668545,0.5049860944330425,0.4333118510440238,0.9050316231625046,1.1445234946607794,0.05
2,0.30107000000000006,False,0.0,0.1734,0.9323,50.0,0.0,0.2829226311718055,0.16197850254085933,1.8103786962017128,0.3095137062598017,1.7582746894850054,0.427674793254213,0.23272959784069874,0.2741825813654352,0.15203322976961883,0.3059189464600997,0.05
3,0.33239,True,0.0,0.21589999999999998,0.9321999999999999,49.2,0.0,0.33598612362662655,0.15923680006701488,1.8605676384044194,0.30939306951927736,1.7737258636336168,0.7410820034641327,0.2451454768048041,0.2565325709337637,0.20922585826522533,0.627677574795676,0.05
4,0.2957700000000001,False,0.0,0.2098,0.7927000000000001,44.45,0.0,0.35743526007659965,0.16436446174072072,2.0238108335627434,0.4901769402769568,2.349593438052799,1.4302825081660313,0.39647417653624795,0.38585613460451673,0.5600360052701818,0.8569234643487417,0.05
5,0.31795999999999996,False,0.0,0.24159999999999998,0.8638,55.15,0.0,0.42711503623385766,0.13816089435231915,2.0023496077789726,0.4159424605089113,2.1294690697651832,1.1935541826470282,0.3374145941523658,0.30930293797429326,0.3150314256257126,0.6531832814736795,0.05
6,0.22220999999999994,False,0.0,0.2294,0.7890999999999999,87.55,0.0,0.34682774119947046,0.2036294191897033,2.2611624862134265,0.7080284058701102,2.55755747248068,1.4445916279464326,0.4590158324760317,0.4219061999231843,0.6093570738670949,0.799415978258392,0.05
7,0.16598000000000002,False,0.0,0.22000000000000003,0.6536,92.05,0.0,0.30598428379578463,0.16322405943447688,2.1849673949340143,0.5576254838098093,3.1872841247227552,1.739566226213552,0.5231065524730768,0.4183435639295914,0.9054390549634472,1.0071611058671712,0.05
8,0.24083999999999997,False,0.0,0.24180000000000001,0.7285999999999999,73.5,0.0,0.35413596165458705,0.15963530622203245,2.285894102455524,0.6442222537122259,2.9430717376662194,1.811679928126533,0.4983140745876561,0.41080143552194226,0.9011805924609393,1.105183736855388,0.05
9,0.2933700000000001,False,0.0,0.275,0.7249,58.3,0.0,0.3836171176872334,0.13021915540277632,2.1160293107813084,0.4047225359531518,2.436550197962616,1.1287746543857562,0.4898764844176311,0.3576818395255824,0.8156732383956777,1.0038910125021685,0.05
10,0.38798000000000005,True,0.0,0.23959999999999998,0.9342,30.0,0.0,0.3547508114349482,0.07334197683457067,1.8502643653936341,0.24988488222332422,1.6265234561036859,0.29488039165174035,0.26152590205119913,0.24769992017434106,0.08820202732731386,0.23852892097218303,0.05
11,0.38533999999999996,False,0.0,0.2157,0.8634999999999999,12.35,0.0,0.31773356052231455,0.09501486549150837,1.8644487074175966,0.2900016460872285,2.0217892316727424,1.051725916692984,0.3087292391486772,0.3116163773689476,0.38094624266703453,0.7662947311112885,0.05
12,0.36337,False,0.0,0.23009999999999997,0.861,28.0,0.0,0.3559914261724651,0.1007099418495892,1.9284244734225173,0.35292835957704055,2.0331888760578396,0.9851757153989898,0.30171188217698386,0.2913181791762385,0.3849730307121206,0.7730855910469351,0.05
13,0.36242,False,0.0,0.23269999999999996,0.8651,30.0,0.0,0.29793677735605695,0.13501099072025124,1.9657106785788419,0.4239711208607687,2.0488764615917083,1.030925272469692,0.34701012559919,0.33111923272495575,0.3855873504206112,0.7725961357631695,0.05
14,0.32360000000000005,False,0.0,0.14800000000000002,1.0,40.0,0.0,0.24587215357458314,0.13557575480183245,1.7166466701415672,0.10619148550490806,1.6243555555555567,0.31303880483629426,0.133763862932012,0.06602978430917907,0.07360000000000083,0.2208000000000025,0.05
15,0.40084000000000003,True,0.0,0.26139999999999997,0.7982,10.8,0.0,0.3606143860378489,0.03117452423028742,2.0314968708845678,0.4322535081610041,2.0659294402409794,0.8278836520128818,0.41673712053146117,0.36070603800276624,0.4454865680205124,0.7428562225854515,0.05
16,0.2734600000000001,False,0.0,0.16330000000000003,0.9305,60.0,0.0,0.30087803132895885,0.1811850906136408,1.7774282460494786,0.27384557925448194,1.7773695300941639,0.7119529580479157,0.21665418123477806,0.2554325115576186,0.23095341565453936,0.6928602469636183,0.05
17,0.35982000000000003,False,0.0,0.201,0.9304,30.0,0.0,0.3053427302723473,0.14655625926129312,1.8018847192155452,0.25117325213702335,1.7190418244832582,0.6108096913753647,0.23869702668669057,0.2357705141142178,0.17373557448325827,0.5212067234497748,0.05
18,0.25614000000000003,False,0.0,0.1524,0.9221999999999999,63.6,0.0,0.24716673483351012,0.15893393760427826,1.7583507920483412,0.25097471151194045,1.8577780674498734,0.6958968567161414,0.2119668080936506,0.23269764225748268,0.26012251189431723,0.5665491300326585,0.05
