generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.38539999999999996,True,0.0,0.2183,0.9269000000000001,93.6,0.0,0.32809479917143636,0.22064360463190044,2.005606730727555,0.45024817651858107,2.093442183076456,1.1521025749836489,0.3288922973157654,0.2911610671547938,0.318817652033519,0.5719135754553455,0.0
1,0.3772500000000001,False,0.0,0.3370000000000001,0.7921,93.65,0.0,0.4920365979352542,0.045369122608543484,2.378554459606306,0.47093963658194377,2.7916899207918915,1.9616718684708268,0.5308829853180137,0.28039529300736016,0.6591477725559043,1.032065353563618,0.05
2,0.4847,True,0.0,0.18860000000000005,1.0,54.8,0.0,0.32979224612772495,0.15026382532277982,1.7452387008824988,0.10966688605975815,1.5171,0.032013903229690714,0.15455973815619045,0.07498355070705331,2.0412815036198627e-203,0.0,0.05
3,0.5658,True,0.0,0.2164,1.0,21.2,0.0,0.3416202139384429,0.10333105318081699,1.7688770278112842,0.1201684414239408,1.5185,0.023470193863707196,0.15944182807522939,0.0877445027989936,2.0408495452412092e-197,0.0,0.05
4,0.4966,False,0.0,0.18470000000000003,0.9301,30.4,0.0,0.2766183048875575,0.11828248838059498,1.782928233639392,0.27736094369307734,1.717864500456979,0.6400435735142171,0.19067856482704726,0.22348842557654258,0.1881650604470338,0.5644951813411013,0.05
5,0.5608,False,0.0,0.2016,1.0,20.0,0.0,0.33556191629682897,0.09979865812131718,1.7410272852915678,0.13186259956131777,1.5114999999999998,0.02109146746909752,0.1391866628795442,0.08742053786678694,2.2982786627236343e-188,0.0,0.05
6,0.5002,False,0.0,0.22799999999999998,1.0,56.9,0.0,0.38547225526086903,0.1155765369035674,1.8239111698043893,0.1769975348750484,1.5085000000000002,0.013994641831786895,0.18954035079614978,0.09487901375787403,3.5657421479202405e-188,0.0,0.05
7,0.48085,False,0.0,0.3034,0.9350999999999999,69.2,0.0,0.40037011990442106,0.023474145099375877,2.037600533288635,0.36238260387168575,1.9663572012483705,1.275174063229299,0.36848986285693214,0.24763140456135324,0.22539746104384353,0.5963534428464581,0.05
8,0.4071,False,0.0,0.2854,0.799,67.55,0.0,0.40282437543502914,0.04174853906790382,2.1375186890167304,0.4618722469640723,2.578033348302568,1.7234131640289894,0.40237765271221343,0.31348470607845985,0.4830273012014506,0.8627857065920854,0.05
9,0.46509999999999996,False,0.0,0.2872,0.883,60.0,0.0,0.40328991982679774,0.06631229436252643,2.0899053669041834,0.5273282042798286,2.3017550619982163,1.5984510878741502,0.3838172457611021,0.33503103195995565,0.3984393332456781,0.796886307007181,0.05
