generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.5709,True,1,0.0,0.18180000000000002,1.0,10.0,0.0,0.3314533707694376,0.09447022230296742,1.671684865298904,0.054076639253222314,1.5566251736112093,0.04084174074056465,0.10129071849056881,0.016387561451936355,1.6681918316704402e-242,0.0,0.004349440449233252,0.0012361053005844071,0.040000000000000036,0.0,0.12730000000000002,0.03293948997783663,0.019999999999999997,3.469446951953614e-18,0.3332867041027709,0.09458651634716653,0.8178000000000001,0.1794,0.0026000000000000003,0.0002,0.1796,0.0582,0.0,0.08547484133256839,0.9056064023531138,0.5625397561402041,0.05,0.10499664411542811,0.0976004448455635,0.8821885154873118,0.8455720456509138,0.8824491150720853,0.22941999768222568,0.07471746044262437,0.07078453959579575,0.05
1,0.5709,True,1,0.0,0.18180000000000002,1.0,10.0,0.0,0.31502842852719143,0.10406720913729782,1.6610066201105986,0.04828256960608768,1.5078,0.013673331708109755,0.09898354867514905,0.014925498761380968,1.3418865467995749e-242,0.0,0.004128341142326297,0.0013689615574971226,0.040000000000000036,0.0,0.1149,0.03881352856930171,0.019999999999999997,3.469446951953614e-18,0.31652842852719143,0.10456108870693528,0.8192999999999999,0.17750000000000002,0.0026999999999999997,0.0005,0.178,0.05673094393714951,0.05,0.07094968266513677,0.9112128047062277,0.6250795122804083,0.05,0.10999328823085622,0.095200889691127,0.8643770309746236,0.7911440913018276,0.8648982301441707,0.3588399953644513,0.05,0.05,0.05
2,0.57235,True,1,0.0,0.18470000000000003,1.0,10.0,0.0,0.3296219037201192,0.0957881457963288,1.6695091730306317,0.05547087304342333,1.5041,0.012299999999999976,0.09974404231661742,0.010846951275404549,2.6455911941538393e-242,0.0,0.004299462844641431,0.001218740994091344,0.04000000000000003,0.008944271909999156,0.1214,0.030640496079535007,0.019999999999999997,3.469446951953614e-18,0.33128857038678583,0.09578814579632879,0.8209,0.1757,0.0034000000000000002,0.0,0.1757,0.05745441671447026,0.05,0.10828883465152227,0.8832954988498037,0.6195394343165749,0.05,0.05958199238745822,0.06070780311089162,0.8600949014246503,0.8322817539190843,0.910699420375242,0.44468240096169837,0.07596300457577299,0.1414358030393838,0.10412061472507246
3,0.54235,False,1,0.0,0.1647,1.0,20.0,0.0,0.2871169066676359,0.14106859081586043,1.6941137225214138,0.08227407379395187,1.5317111111111117,0.0704245537989279,0.09627201505368431,0.02399418201002679,0.016800000000000523,0.05040000000000157,0.0037734028800116308,0.0018657241911905068,0.040000000000000036,0.0,0.10600000000000001,0.053366656256505336,0.019999999999999997,3.469446951953614e-18,0.2884502400009693,0.14173129007344995,0.8345,0.1602,0.0051,0.0002,0.16040000000000001,0.07720129532592053,0.05,0.1267200483469129,0.8980208299922595,0.5527292491297013,0.05,0.05,0.12711102455031198,0.8809690961556099,0.8681689883703865,0.9608072924642976,0.4344560431659438,0.07431701611024562,0.12277895790461602,0.11991000239105454
4,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.3654717115022425,0.017169045168192242,1.6745690010249181,0.03439903267846759,1.5654666666666675,0.08975648537385417,0.10492372066241393,0.003341311956075223,0.015800000000000508,0.04740000000000153,0.004773660538026909,0.00023697495929741056,0.040000000000000036,0.0,0.1351,0.010377379245262264,0.019999999999999997,3.469446951953614e-18,0.3669717115022425,0.017053419305625227,0.8007,0.199,0.00030000000000000003,0.0,0.199,0.0,0.05,0.09305151855768524,0.9014283250640948,0.5915069035411318,0.05,0.0756681530570602,0.07872614139482233,0.8503214493118174,0.7652511263729875,0.9654302824772588,0.38590053781345834,0.061080644228812285,0.11375514781207145,0.07636856507425017
5,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.36236312369780965,0.01633718752675491,1.65932853321361,0.04717585415734666,1.5554168402777788,0.0979832570568369,0.1061646218352403,0.00557398314888866,0.01710000000000061,0.05130000000000183,0.004732357484373716,0.0002643495956779606,0.040000000000000036,0.0,0.1312,0.0119230868486311,0.019999999999999997,3.469446951953614e-18,0.3640297903644763,0.016337187526754907,0.8008000000000001,0.199,0.0002,0.0,0.199,0.0,0.05,0.1153626069808087,0.943055667972835,0.5764703431282093,0.05,0.06546742422505111,0.08041026296533829,0.8853509177047232,0.7154349043713986,0.9263346481465772,0.31425780544832327,0.05386868142507729,0.05,0.10414461037092468
6,0.5761000000000001,False,1,0.0,0.189,1.0,9.2,0.0,0.32990736035137286,0.09646220645436186,1.6950452739037156,0.04634724143281187,1.5123000000000002,0.01878856034931891,0.11543348682896067,0.03369503871564684,1.8386706129133309e-242,0.0,0.0043028883242164735,0.0012407637270852917,0.040000000000000036,0.0,0.11860000000000001,0.029987330658129606,0.019999999999999997,3.469446951953614e-18,0.33174069368470616,0.09666119135563896,0.8106000000000002,0.18,0.0023,0.0070999999999999995,0.18710000000000002,0.0357,0.05,0.17091226028267587,0.9558562833705946,0.614198223196001,0.05,0.08400338863101807,0.0968754614377889,0.8486528808533295,0.5314743428808845,0.9306771797545639,0.3331414909543581,0.17851580175278772,0.06264809655541012,0.09473030955334594
7,0.498,False,1,0.0,0.1568,1.0,40.2,0.0,0.2754146255647749,0.16014232367802028,1.6943160220010909,0.17402829701573044,1.5245279513888896,0.03738860190425306,0.1323646500938026,0.10641875102015502,0.0031000000000004067,0.00930000000000122,0.0037369755067772994,0.0021285847587593078,0.04800000000000003,0.009797958971132706,0.1061,0.05509891106002005,0.019999999999999997,3.469446951953614e-18,0.27741462556477503,0.1607507481707032,0.8596999999999999,0.1113,0.0189,0.010100000000000001,0.1214,0.07787708263667817,0.05,0.059883878394637824,0.9482505906258464,0.643088656964644,0.10534890208634072,0.05,0.05,0.9181470837627349,0.834438934347123,0.8776018472396729,0.34726762607923944,0.10225276191049262,0.05,0.08416307275821198
8,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.35566260538563804,0.013455269217201036,1.6765790925131985,0.05108561347099485,1.522562429470486,0.03265265087144726,0.10300331117997477,0.0009329098626232246,2.214612904617041e-242,0.0,0.004639951264627658,0.00018633245384884383,0.040000000000000036,0.0,0.1304,0.00978979060041633,0.019999999999999997,3.469446951953614e-18,0.3573292720523048,0.01345526921720104,0.8007,0.199,0.00030000000000000003,0.0,0.199,0.0,0.05,0.13198150199857064,0.9613948465253147,0.6100838404447524,0.05,0.05,0.11907388750576917,0.7994356334342463,0.7719291228778176,0.9438804215008937,0.29784552197211994,0.05,0.05,0.122914593746537
9,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.36496444431680686,0.031865652569032114,1.6949552964983563,0.04785523742523589,1.5198980979455912,0.03241300801721614,0.10824817013284434,0.007463814552920817,2.8122999494869994e-242,0.0,0.004791573331801682,0.00042691871007867043,0.040000000000000036,0.0,0.13319999999999999,0.014613692209705252,0.019999999999999997,3.469446951953614e-18,0.36696444431680686,0.032485466551547174,0.8007,0.199,0.00030000000000000003,0.0,0.199,0.0,0.05,0.08380879341532696,0.9483787104258893,0.511478843538295,0.05,0.10941372123863773,0.13673812412524625,0.9035680102812137,0.712281640742844,0.9060552411875168,0.2874376480316948,0.05,0.08923887653102017,0.08557065928819191
