generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.38345,True,1,0.0,0.2499,0.7314,53.6,0.0,0.0,0.0,2.2711166230538136,0.6226915976928871,2.7334873448323878,1.5404539198602891,0.572199518538596,0.4543040503280576,0.7541498685223974,0.9343344678839159,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7876510091532454,0.04817499528253834,0.025886989286392027,0.13828700627782417,0.18646200156036255,0.11120684293765126,0.0,0.9311065116880108,0.8788049796887548,0.6053997089657756,0.9099116650376071,0.3509909426312025,0.19060769588329446,0.8665573971310466,0.46201591841359596,0.5188447573831723,0.4799355123848937,0.3949969410480524,0.29917043392096565,0.6117619529733335
1,0.3743,False,1,0.0,0.2434,0.859,88.45,0.0,0.0,0.0,2.165070474668987,0.4826859653001264,2.065093656786398,1.073978497190104,0.46058686417942774,0.3605776953223013,0.3968600564242561,0.7976450788054154,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.778123209663503,0.042913258556226644,0.04117592752372735,0.137787604256543,0.18070086281276962,0.11555461190641955,0.05,0.9736563821031061,0.8876927259137773,0.5627477233901736,0.8877166811413039,0.3408440444781153,0.245633474378895,0.7148005895404972,0.4412878458467185,0.45169036550064107,0.44127681716457196,0.3112365943717038,0.3394343186034645,0.587016243739342
2,0.36230000000000007,False,1,0.0,0.34450000000000003,0.4793,24.8,0.0,0.0,0.0,2.9775212853076183,0.6199804348399411,3.3023917588520213,1.183757645994541,1.0247335854782447,0.35784388410730106,1.1891726313570543,0.7591159269548277,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.6118294744272094,0.09294013630655217,0.04135999599991114,0.25387039326632727,0.3468105295728795,0.1197282149908519,0.05,0.9059122845838055,0.8489941294144672,0.6241243718736994,0.9305695136883915,0.34181065989386566,0.22320550722026272,0.9202908693021675,0.39775466179651675,0.4557832258454411,0.6344255040238123,0.3330948954755654,0.2720630022774783,0.6378170858202132
3,0.34235000000000004,False,1,0.0,0.29700000000000004,0.5111,30.85,0.0,0.0,0.0,2.9096146647991152,0.6687101723735771,3.7165425255200217,1.644994321164534,0.915239461792078,0.4126977190745225,1.1556334315684025,0.8161021819117115,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.5715675127113643,0.09211889731333703,0.044743487189163426,0.29157010278613527,0.38368900009947227,0.18457754984085772,0.05,0.8918762673625047,0.8105158697997213,0.6009849482959747,0.9253238496116214,0.2801403068088067,0.1868252869117581,0.9014613566225435,0.43074153560381395,0.4832028616282358,0.4301686642490638,0.3856792694418725,0.16578788414061843,0.5952521782811704
4,0.37484999999999996,False,1,0.0,0.266,0.7449,65.3,0.0,0.0,0.0,2.3761679707437153,0.6641076448926252,2.3317645377470746,1.1516951328073337,0.610127548712118,0.4561685006754176,0.5563754091705071,0.7784264164433717,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7389828082145384,0.05964876138446321,0.040776402930349634,0.16059202747064866,0.22024078885511184,0.13430761020824616,0.05,0.9165305405597524,0.8715959334082737,0.5575011625065573,1.0,0.38416902068549996,0.23556279097450972,0.8482673500169888,0.4851504202697798,0.5228384571419209,0.46269262151311885,0.44320909214427545,0.34772048503806413,0.5719403603018665
5,0.38444999999999996,True,1,0.0,0.306,0.6725,52.4,0.0,0.0,0.0,2.6406217585570255,0.6728168087162631,2.8732677042225774,1.3404812195053488,0.7507397295587505,0.44807104045165574,0.8640467209099159,0.8777379553099969,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.692223385029429,0.06983064756577173,0.03635473038206523,0.20159123702273396,0.27142188458850575,0.1637377321456548,0.05,0.9703607244017757,0.8941371013768842,0.6607399036056905,0.9433463259647423,0.3883360863122186,0.1800737971842934,0.8644958607569909,0.44132971485400385,0.4808309848963106,0.43015879211523617,0.33256034861031186,0.275372418346132,0.5963484086508298
6,0.43399999999999994,True,1,0.0,0.27290000000000003,0.8049,52.45,0.0,0.0,0.0,2.3641715207689806,0.729876320540826,2.537812968760395,1.8228828422836094,0.5679243654993588,0.46110097431385205,0.5168326132961425,0.8678896874997073,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7372527468568753,0.043963202652265665,0.03328021706309829,0.1855038334277608,0.22946703608002644,0.18259329599795995,0.05,0.9422937890414511,0.8991998704362081,0.6202216940449429,0.9435722986739766,0.4958787929770834,0.1811579994176781,0.8513341702882432,0.47997194005710336,0.5339490500377226,0.44925580878098825,0.31813896101256256,0.2818126315881103,0.6170178638421209
7,0.39375,False,1,0.0,0.2759,0.7382,56.65,0.0,0.0,0.0,2.3806380133815868,0.6640604677037162,2.6561341235810154,1.4150331829795026,0.6119013942462206,0.4481568439749703,0.6692990653074679,0.8207985637423064,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7411289433165197,0.05625895891344557,0.041955785724371995,0.16065631204566272,0.21691527095910823,0.14453407670038734,0.05,0.9814028718764327,0.9095405607641489,0.664607414644748,0.9543326146795634,0.3859472572687222,0.1731802439460268,0.8155664966443965,0.5092481774092799,0.5630923201969661,0.4316847568511667,0.4007413798133688,0.20258429890445256,0.5263961352327059
8,0.3922,False,1,0.0,0.285,0.8012,75.45,0.0,0.0,0.0,2.292908677397217,0.519748746568886,2.3567335003470706,1.447710855142021,0.5766377643773902,0.3908044071049738,0.5358328927092277,0.9048491164712164,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7636708954015193,0.04317954259261124,0.03946341343364917,0.15368614857222027,0.19686569116483146,0.11990315771381317,0.05,0.9906887421643412,0.9294785913570562,0.6588710413760951,0.810140657793232,0.5885531038681564,0.19303487225492133,0.8090221626794213,0.4666408692656242,0.5067466822673532,0.48511497113549623,0.37044868101980943,0.24784255960843896,0.5616299124784498
9,0.38475000000000004,False,1,0.0,0.23850000000000002,0.8634000000000001,83.1,0.0,0.0,0.0,2.0978909057797575,0.4691964931626197,2.1018315209434433,1.0994038957071774,0.42513646086936774,0.3543858499997565,0.28700027728640676,0.5609571209575552,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8011717331492116,0.032623366705374045,0.03618124365774305,0.13002365648767117,0.16264702319304522,0.11392995066388861,0.05,0.968343267780331,0.8659900348925414,0.5547231278841094,0.9486585981969525,0.6041920154787856,0.14010674126676936,0.7599247629956013,0.46690835516357504,0.49425434345325814,0.473262231995951,0.27112312795160187,0.30450012174209967,0.5326095445059118
