generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.4336,True,1,0.0,0.26370000000000005,0.8051,50.4,0.0,0.0,0.0,1.942534798580941,0.33878565884218825,2.133619218535658,0.9535741262873013,0.4700477250403427,0.3755546344192225,0.42855428619605684,0.6920513937630419,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7866040939305925,0.13745838960086237,0.07482007777644697,0.001117438692098093,0.13857582829296042,0.09495217433214759,0.0,0.1013187386424781,0.9130160850711325,0.48024272292411035,0.08978495474808691,0.05,0.05,0.9144840455925274,0.8563347678093887,0.9197036328280641,0.1467552771942455,0.09921576462220065,0.11297979831266655,0.05
1,0.4387,True,1,0.0,0.25120000000000003,0.8661999999999999,60.0,0.0,0.0,0.0,1.8936081601234993,0.2870795784803547,2.0531244384377585,1.1017923151257876,0.40266878674721074,0.33196669056391803,0.3603586724622553,0.7239737203219238,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7681849075900358,0.13935966834684782,0.09225542406311636,0.0002,0.1395596683468478,0.09730591850908972,0.05,0.1026374772849562,0.926032170142265,0.4604854458482207,0.07956990949617382,0.05,0.05,0.9289680911850547,0.8126695356187773,0.9394072656561282,0.193510554388491,0.0984315292444013,0.1259595966253331,0.05
2,0.48140000000000005,True,1,0.0,0.2994,0.7988000000000001,33.85,0.0,0.0,0.0,2.0476193730205923,0.36414924640200447,2.253309162329175,1.1208707259252984,0.5078818958917206,0.3565042484702683,0.5548721344682153,0.8677622971300302,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7019222196188111,0.23029634289760556,0.05487662471423436,0.012904812769348952,0.24320115566695452,0.14538290242455013,0.05,0.1427338070887689,0.8384945508086891,0.4357328492770014,0.05,0.05126220929372011,0.05,0.851624432089054,0.7823223369417951,0.8697166320383306,0.16212577966041836,0.1150631369622004,0.05,0.13351499101857986
3,0.40535,False,1,0.0,0.2173,0.8734,70.0,0.0,0.0,0.0,1.912969735154104,0.43591473151449717,2.092461491514215,1.4014765016485395,0.36151924002393465,0.3463286380752493,0.279702170958689,0.6207180271682485,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7969791104717378,0.15780622190253552,0.04511466762572679,0.0001,0.1579062219025355,0.139488797429879,0.05,0.11775651382320304,0.8721509990369921,0.5481373279360952,0.05,0.05,0.05,0.8050731132346788,0.8378716399264637,0.8602324841160237,0.22604625921008958,0.08735928101438027,0.06771513699963182,0.11150118240188207
4,0.44935,False,1,0.0,0.2859,0.7336,30.2,0.0,0.0,0.0,2.070264314479741,0.3927433337479627,2.5924618204626375,1.29828119101451,0.5559785699140108,0.3710964055556959,0.8191516711104139,1.0156821148717747,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.6929915032348098,0.2309359394137176,0.037729479208172566,0.03834307814330003,0.2692790175570176,0.19477425897540743,0.05,0.12151136572436635,0.8498986320512615,0.464685057624869,0.05,0.05,0.05,0.8442802970115579,0.7117235618942527,0.8561887908105706,0.2185909448852557,0.05,0.05,0.22168960164585277
5,0.42325,False,1,0.0,0.20729999999999998,1.0,90.2,0.0,0.0,0.0,1.7704702774825833,0.13289971094407618,1.542900620174408,0.04746957791448051,0.22095540410397435,0.10136686588082988,1.0206407523601128e-203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8404,0.0792,0.0503,0.030100000000000005,0.1093,0.05418496101318151,0.05,0.11313583574680997,0.7931039667478206,0.4493228301463466,0.05,0.09396755610765885,0.05,0.8544268814346079,0.7876154652675955,0.8651747531560099,0.12643197685910534,0.12524890665729235,0.11015159187110145,0.13773064444474953
6,0.5708,True,1,0.0,0.18160000000000004,1.0,10.0,0.0,0.0,0.0,1.6747368243426592,0.05519419065828754,1.5358910490353912,0.030027643874087136,0.09812779704280129,0.01658227179460027,0.005400000000000646,0.01124455423749773,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8178000000000001,0.1792,0.0029000000000000007,0.0001,0.1793,0.05843466436970439,0.05,0.15093050325587357,0.8571821283073486,0.42438750676299125,0.05,0.06696770326497095,0.12422090565471716,0.8842326399887454,0.7706936685626415,0.9289539413663154,0.20817314526138034,0.175888176396029,0.05,0.14457958988540698
7,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.0,0.0,1.6765574539739148,0.04150765521111233,1.5219000000035492,0.02553605294357019,0.10410263287452934,0.0029389048234196714,1.3093539677694384e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8009000000000001,0.199,0.0001,0.0,0.199,0.0,0.05,0.2417602659856242,0.9443263270611805,0.42136361739153816,0.05,0.05,0.12160999779964074,0.8799707665591638,0.7922463099817689,0.9191199633926568,0.1751435746445657,0.16356334417017612,0.05,0.11926903940378121
8,0.57075,False,1,0.0,0.18150000000000002,1.0,10.0,0.0,0.0,0.0,1.6829633597390792,0.05760048987352075,1.5388000000000002,0.06707577804244977,0.09846622400298026,0.016411120278042115,1.5198070622489584e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8179000000000001,0.17950000000000002,0.0026000000000000003,0.0,0.17950000000000002,0.0585,0.05,0.16982920619835373,0.9341257772653487,0.3929918980307081,0.05,0.05,0.150902310640949,0.8985622535865089,0.6718890365957298,0.967319120979811,0.17996877935144961,0.1850016455130696,0.07986668242423178,0.15577335798832811
9,0.47600000000000003,False,1,0.0,0.24980000000000002,0.931,57.2,0.0,0.0,0.0,1.8649879301348418,0.19016175415492706,1.872250509078518,0.9452343569534774,0.32578677084450736,0.22843140749673382,0.17750207241400187,0.5325062172420056,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.784716129032258,0.1792806451612903,0.03490322580645162,0.0010999999999999998,0.18038064516129032,0.12418641353615097,0.05,0.18218722517811856,1.0,0.3864814005644499,0.05,0.0891582418061092,0.05,0.9507913070837433,0.7607885744062005,0.893310144967481,0.2974732380606665,0.08445331180920584,0.05,0.13816900441171084
