generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.5708,True,1,0.0,0.18160000000000004,1.0,10.0,0.0,0.0,0.0,1.668473187736208,0.06629602440709607,1.5390000000000004,0.05711917366349135,0.09931194821787484,0.01671897864710321,1.151773286215466e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8181,0.17870000000000003,0.0031000000000000003,0.0001,0.17880000000000001,0.0586051192303198,0.0,0.09344739213265475,0.8899676948716237,0.41549385550273366,0.060279076179474436,0.17640008315588937,0.21182027032153583,0.769424402540959,0.9383004695361651,0.9873084003969257,0.05,0.08669057606789046,0.05,0.05308673441096131
1,0.5709,True,1,0.0,0.18180000000000002,1.0,10.0,0.0,0.0,0.0,1.6496979105492506,0.047687254020298664,1.5712888893949586,0.07654625320373871,0.10027781320032163,0.015939874285076525,0.015400000000000502,0.046200000000001504,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8177,0.1792,0.0031,0.0,0.1792,0.05840171230366453,0.05,0.0868947842653095,0.8799353897432475,0.3309877110054673,0.05,0.2528001663117787,0.32364054064307163,0.638848805081918,0.9766009390723301,1.0,0.05,0.07338115213578092,0.05,0.05
2,0.5423,False,1,0.0,0.16460000000000002,1.0,20.0,0.0,0.0,0.0,1.6703849238352184,0.057453994143213886,1.5437,0.06013493161216697,0.09466432240453895,0.02030519576458908,1.6540835141432099e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8343999999999999,0.15980000000000003,0.0058,0.0,0.15980000000000003,0.0776541048496472,0.05,0.08311973632061542,0.8448475292354106,0.32295581008613217,0.05,0.23120257201849032,0.30665083816186156,0.636342168887818,1.0,0.9773404679322385,0.10289754321629041,0.10420487725835491,0.08197327696767251,0.10588794509404992
3,0.5709,True,1,0.0,0.18180000000000002,1.0,10.0,0.0,0.0,0.0,1.667251923071483,0.04240295837892542,1.5491000000026147,0.0609416934503433,0.10366681152429011,0.014415879130563861,2.066377684205076e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8177,0.17960000000000004,0.0027,0.0,0.17960000000000004,0.0582,0.05,0.09418888754762697,0.9378897983127396,0.33991097602811005,0.05,0.16293153560694001,0.326583106137705,0.6992276638236836,1.0,1.0,0.1312712196766958,0.10188782997249343,0.05,0.05
4,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.0,0.0,1.6935228909139994,0.03657243469103736,1.5193555555555556,0.03461573181212396,0.10669885564151485,0.007731284133993026,2.7340894628627668e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8006,0.19890000000000002,0.0005,0.0,0.19890000000000002,0.00030000000000000024,0.05,0.05,0.9567119859854604,0.33042684986756826,0.08159114254086927,0.22452455326940007,0.3744728053322622,0.6370346724912609,0.9991824352808725,0.9440218560800119,0.15793963211308887,0.11082198117803782,0.14421496155847702,0.05
5,0.57095,False,1,0.0,0.1819,1.0,10.0,0.0,0.0,0.0,1.6598414237462393,0.06445641550395122,1.5313003815439021,0.038297028937534214,0.1193415953608177,0.0383269096326439,2.1922460421190696e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8176,0.1734,0.009000000000000001,0.0,0.1734,0.05660777331780504,0.05,0.05,1.0,0.4225576185342532,0.14017189624360382,0.2403644466626073,0.33639390770647193,0.5498541818384162,1.0,0.8734691164359298,0.06957335172424278,0.10052715675857975,0.16725547825628131,0.05
6,0.57075,False,1,0.0,0.18150000000000002,1.0,10.0,0.0,0.0,0.0,1.6543521447967269,0.04865731093527976,1.5367000000000002,0.05308304814156775,0.09797653834842975,0.01667567185311768,1.3727195387257719e-242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8179000000000001,0.17940000000000003,0.0027,0.0,0.17940000000000003,0.058800000000000005,0.05,0.09269566239617227,0.9452648556627228,0.316204147378966,0.05927984600643128,0.26520158321598986,0.40234305290058703,0.6400939311306434,0.9929634256329455,0.9937735581229473,0.13157258382565648,0.06802881754612823,0.22320020479128438,0.06196247414340899
7,0.58745,False,1,0.0,0.199,0.9759,0.0,0.0,0.0,0.0,1.7271088559507564,0.13096193993284763,1.639612796433768,0.34022922456808485,0.13248722460226553,0.0714323420477905,0.07980000000000086,0.23940000000000256,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.7940495388669302,0.2053187088274045,0.0006317523056653491,0.0,0.2053187088274045,0.01895612648221344,0.05,0.058320677923484235,1.0,0.4097045577139726,0.07391191051594798,0.2071189826467378,0.3901325828681886,0.6781042350397507,1.0,0.8960835528357116,0.14071322842528547,0.08908608592057597,0.1792823859006469,0.1303675268725215
8,0.57085,False,1,0.0,0.18170000000000003,1.0,10.0,0.0,0.0,0.0,1.6688853176401488,0.03333055673558345,1.5666000000000018,0.14114793220388694,0.10220778944270315,0.017392778030691267,0.04300000000000118,0.09974868420185039,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8173999999999999,0.1792,0.0034000000000000002,0.0,0.1792,0.05840342455712679,0.05,0.05,0.9383646998577689,0.22081745011248682,0.05,0.25229934582378166,0.3856907465972946,0.6591041608307505,1.0,1.0,0.24834522776015333,0.10731941346768405,0.11205258469544355,0.05
9,0.54235,False,1,0.0,0.1647,1.0,20.0,0.0,0.0,0.0,1.6689473062154008,0.057603615530000825,1.5575000000000017,0.06968249421483345,0.09398439300778756,0.01978110183899283,0.0012000000000004292,0.003600000000001288,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.8343,0.16030000000000003,0.0054,0.0,0.16030000000000003,0.07740807451422624,0.05,0.05,0.9603364143174852,0.3959721521695122,0.05624338446093427,0.1630725818155439,0.2974895207636478,0.6000294056549438,1.0,0.8969511153236819,0.16244066858048767,0.056514244412116894,0.18947640610543612,0.06577923222643653
