generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,frac_forage,frac_care,frac_self,frac_protect,maternal_fraction,std_maternal_fraction,mutation_sigma,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.5446,True,1,0.0,0.20540000000000003,0.924,10.05,0.0,0.3754151228849071,0.027152618757767654,1.9488853776899955,0.6170483755964867,1.852901336243982,1.0118298269036154,0.2554220729149749,0.41993647982687254,0.18749695425791396,0.5624908627737419,0.022843144809183855,0.010599967766181696,0.15329917492082282,0.01637203421513025,0.4056666666666667,0.024368011818775855,0.04196910169262688,0.0025971175009336543,0.4620224025164035,0.05215960552766057,0.7407166666666667,0.16661666666666666,0.01966666666666667,0.07300000000000002,0.23961666666666667,0.13888504539126353,0.0,0.07842522242200944,0.9219687773323922,0.49993690905811233,0.15305614216613245,0.11016823915017415,0.1332786372383,0.8478192387940877,0.835804445586641,0.8979233053397145,0.05,0.09370785220231735,0.1510074277119754,0.15148103517645453
1,0.38369999999999993,False,1,0.0,0.18409999999999999,0.8633,70.0,0.0,0.26186141867863866,0.1671791807339095,1.9599889990012485,0.5161923740156699,2.07940386605543,1.1128099372381055,0.341271027115834,0.4196602539438894,0.2760619072821902,0.5804224768196287,0.026863929553556022,0.018809754185640522,0.12928512575830667,0.030454876873542445,0.40762847152847154,0.09622388324755872,0.04174399453013992,0.0030479341374898584,0.314560848032223,0.18060469355518657,0.7743479520479519,0.09394715284715285,0.04661068931068931,0.08509420579420579,0.17904135864135867,0.16336884229129547,0.05,0.05685044484401889,0.9439375546647845,0.49987381811622467,0.20611228433226486,0.1203364783003483,0.1665572744766,0.7956384775881754,0.771608891173282,0.8958466106794291,0.05,0.0874157044046347,0.20201485542395078,0.20296207035290906
2,0.5712,True,1,0.0,0.18240000000000003,1.0,10.0,0.0,0.3178422584298747,0.08874979809097287,1.6927560417412635,0.05478351908489285,1.5251,0.02940561170933195,0.09935341318435065,0.014985913972955334,2.5038199223522765e-242,0.0,0.01658758505803609,0.0016105825909287447,0.10500000000000007,0.014999999999999975,0.36910000000000004,0.024373961516339516,0.04050845639735384,0.0006482108865920502,0.3731372167471057,0.0996763507276863,0.8171000000000002,0.17980000000000002,0.0028,0.00030000000000000003,0.1801,0.05669999999999999,0.05,0.07505880043256763,0.8919813662191666,0.5119458751100607,0.05,0.08190686073070838,0.21040332982392987,0.8818779654195791,0.842127220024205,0.8289095232814736,0.05,0.0723011495873937,0.15678780743626697,0.17657283936369306
3,0.571,False,1,0.0,0.18200000000000002,1.0,10.0,0.0,0.3499818879622611,0.10005673081123145,1.6680991795686861,0.05362958964777903,1.5478696180754241,0.0776075097162592,0.10313645418942559,0.016250183432608745,1.695508241995905e-242,0.0,0.017444445926133107,0.0027351340461763754,0.10947347226153696,0.02361146352622395,0.3931,0.048654804490409785,0.04022871729609851,0.0005915157621710906,0.42024326338738016,0.11979325906904788,0.82,0.1643,0.0029000000000000002,0.0128,0.1771,0.058141981390386066,0.05,0.07057292011725899,0.9356272774470183,0.4810139619095047,0.05,0.1544430828506616,0.10074182686930896,0.8398735581377537,0.8926350717703319,0.7981347431192422,0.05,0.05492819403588994,0.2430217125645437,0.1995039094206315
4,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.35150485774048745,0.012747655076905827,1.6645006245670892,0.031813178983438536,1.5257999999999998,0.06352133499856576,0.1044336214833691,0.004801529240694663,1.888608433327058e-242,0.0,0.017265142493986075,0.0005785130347071208,0.10500000000000007,0.014999999999999984,0.38930000000000003,0.014121260566960734,0.04018856778148178,0.0004453167891945261,0.4199851212859569,0.024929239403658116,0.8008000000000001,0.19870000000000002,0.0002,0.00030000000000000003,0.199,0.0,0.05,0.05,0.8481868083542377,0.4662431331313538,0.05,0.07286013088802357,0.1709806865751058,0.869408954882529,0.8225528399249956,0.784509739844034,0.09013161871309974,0.1644004995836159,0.13630138332751862,0.26096838181449283
5,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.3724875371906444,0.017600255432470083,1.700093108890919,0.05009409335943176,1.5551000391536323,0.05474936428445416,0.1066469776128673,0.0019213559702689524,3.702052194821465e-242,0.0,0.017692843560113712,0.0008899700893585642,0.14499999999999996,0.014999999999999987,0.3812000000000001,0.018459685804476742,0.04063524020811865,0.0005915565303501596,0.4325961489663241,0.017117330353434258,0.8009999999999999,0.19490000000000002,0.0,0.004100000000000001,0.199,0.0,0.05,0.05,0.8412188748881619,0.4688924611030239,0.05,0.05,0.23477164182059124,0.8943774610630212,0.8499110342559518,0.6536729439143305,0.05,0.10664693674789338,0.16476255500887316,0.29311025458275985
6,0.57075,False,1,0.0,0.18150000000000002,1.0,10.0,0.0,0.344060564774309,0.09443832742617059,1.6680140945543134,0.052347226604446476,1.5366112847222229,0.04863800704632168,0.10200160049028317,0.017982473763701507,0.004900000000000432,0.014700000000001297,0.018094536657011807,0.001807120968074043,0.1437841538634072,0.013705632713547947,0.40190000000000003,0.031677910284613156,0.04016991989529249,0.0006279502141277705,0.40009384833380945,0.1130145897528716,0.8182,0.1726,0.0023,0.006900000000000001,0.17950000000000002,0.0585,0.05,0.06245789541507225,0.7619235109566915,0.5404458404255704,0.05,0.1069273760393664,0.2507836957258828,0.9288959978488844,0.8887919829131882,0.6646839836206557,0.05,0.1234069675921955,0.1715010875289228,0.3377780525182492
7,0.34795,False,1,0.0,0.25450000000000006,0.6317999999999999,47.6,0.0,0.3898068958299391,0.10466209669036688,2.566353864000555,0.6527162289448237,3.0522903716867975,1.5508293012588474,0.6424287933598138,0.3990519138092394,0.7962262113377753,0.8246233307842553,0.037238745293778755,0.01702922136493173,0.1527310523405972,0.01714708686407162,0.4008698770691003,0.06649987555909234,0.04458767174765239,0.002997454810065955,0.44407224767773884,0.06811668634836984,0.5619404729023783,0.09105348506996538,0.0369860270621782,0.3100200149654782,0.4010735000354436,0.25272395437899464,0.05,0.05,0.844584937198588,0.4414792978790334,0.14153346144925394,0.05,0.1585271925458867,0.8825592744049324,0.8992790620892902,0.6925584363510012,0.05,0.07487107870924267,0.1096223740689951,0.32247851913678716
8,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.33731487050532466,0.01078823261841752,1.6790246529203983,0.043057183544798996,1.5357612849977285,0.02538738118808204,0.10413030388725766,0.0032807991378060817,0.00020000000000028705,0.0006000000000008612,0.01679051948503969,0.001051751433100316,0.10000000000000009,1.8619006149354548e-17,0.3784,0.029826833556380057,0.040374276637826806,0.0006277030560709478,0.40323394920401245,0.015886042957720652,0.8004,0.199,0.0006000000000000001,0.0,0.199,0.0,0.05,0.08116131492089618,0.8819099781713166,0.34526490727083026,0.05,0.059007150277143525,0.3275248693574321,0.9145703709037984,0.8457314451416199,0.6727380808225244,0.07014558775413758,0.19695537093964438,0.12659743067892612,0.14906003408205362
9,0.5995,True,1,0.0,0.199,1.0,0.0,0.0,0.3323048004623692,0.017872812075319437,1.6900044166905552,0.0436219823751556,1.5127000000000002,0.023933449396190274,0.10433792165643183,0.003508661475016361,2.7479565118181094e-242,0.0,0.016606094137776046,0.0009764387442425781,0.10500000000000007,0.01499999999999998,0.3727,0.025884551377221114,0.04039305852160255,0.0005506176399316346,0.403959453383279,0.03325683728858462,0.8006,0.19860000000000003,0.0004,0.0004,0.199,0.0,0.05,0.05,0.9150251131608765,0.3494181457130846,0.05,0.07827119940530268,0.3603725858134029,0.9155618071869775,0.8634927610783226,0.6117342635823697,0.07373416308698964,0.15172117487494136,0.0762630014552399,0.17749422117866748
