generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.50626,True,0.0,0.3214,0.9376,0.0,0.0,0.3853312908521182,0.13384781662639783,1.8796541679352061,0.22206565989873006,1.698917534732471,0.3340796692969814,0.33318233907205785,0.19632687197069,0.07999999999999996,0.23999999999999988,0.0
1,0.51931,True,0.0,0.3133,1.0,0.0,0.0,0.38371659609442077,0.11803828467099,1.8540028885068558,0.13916758056174766,1.563517531845403,0.07040379946357217,0.26354233987697084,0.09094304438710854,0.0,0.0,0.05
2,0.49495,False,0.0,0.3043,0.9398,0.0,0.0,0.35340684157815233,0.12111903199107364,1.885690490168654,0.1857671020989016,1.6540111111111115,0.3398327709656957,0.3024128062487079,0.16295655238370263,0.07980000000000027,0.2394000000000008,0.05
3,0.53578,True,0.0,0.3622,0.9408,0.0,0.0,0.42203706559779325,0.06655667584995906,1.9690732646817253,0.21227763152135498,1.71715555555642,0.32310149076301004,0.37330313197661324,0.17230636546935216,0.07989999999999983,0.23969999999999952,0.05
4,0.5198200000000001,False,0.0,0.3436,0.931,0.0,0.0,0.4230350477837462,0.08368305965016473,1.9643422860684434,0.23215411786159765,1.6837557963053622,0.32844779494629395,0.36538321179087274,0.1703749735752946,0.0799,0.2397,0.05
5,0.49986,False,0.0,0.3351,0.8843,0.0,0.0,0.4304667985678937,0.16628433392151434,2.027954931700356,0.32288392921138065,1.8052111107412205,0.4364154046432792,0.40422936737279624,0.23621471883458028,0.1597999999999999,0.3195999999999998,0.05
6,0.48443,False,0.0,0.34340000000000004,0.8135,0.0,0.0,0.4263711358859106,0.07289663922195043,1.9966485825227935,0.1698563563315215,1.9458055555873421,0.48809868775074383,0.4774417829125713,0.21582352670199642,0.2395999999999996,0.365995409807281,0.05
7,0.54836,True,0.0,0.392,0.9132,0.0,0.0,0.43260979642034414,0.08598486185981226,2.072883628142641,0.29473347201676486,1.8162111463815798,0.43131153503066755,0.44197451838529983,0.18991054361395962,0.1598000000000001,0.31960000000000016,0.05
8,0.4984100000000001,False,0.0,0.33440000000000003,0.8811,0.0,0.0,0.4092376045164155,0.06921309494388399,1.9479155375302504,0.22490163310365602,1.806002771362877,0.435040311275765,0.40985935317326483,0.2162159715519597,0.17230000000000037,0.3150977784751896,0.05
9,0.51683,False,0.0,0.3356,0.9397,0.0,0.0,0.3683201968566123,0.034293997296183945,1.9371421715360948,0.18286161745963853,1.7036000000000002,0.3485998278829178,0.3336057496339933,0.1503244436880226,0.07999999999999999,0.23999999999999994,0.05
10,0.55305,True,0.0,0.3615,1.0,0.0,0.0,0.3824375027960353,0.05084916681625595,1.9625362123364283,0.38244343636963457,1.6458000000000161,0.12378271284796337,0.32700841467955294,0.1673616782092925,0.0,0.0,0.05
11,0.53983,False,0.0,0.36849999999999994,0.9396000000000001,0.0,0.0,0.38059717988726904,0.05897410208200363,1.972925125865655,0.2570466193697948,1.6757111111111118,0.3360598425545334,0.38251638448139064,0.1661317978460429,0.09680000000000051,0.2396918021126297,0.05
12,0.49243000000000003,False,0.0,0.30279999999999996,0.9349000000000001,0.0,0.0,0.3914475939884635,0.07254409783595067,1.9140592635869667,0.1844135393697343,1.6873222710503306,0.34087596574357876,0.3321584369471501,0.16756622338066388,0.08310000000000016,0.23882397283354892,0.05
13,0.50297,False,0.0,0.3449,0.8718,0.0,0.0,0.4099893348200226,0.08426761713494409,2.0280369369871103,0.2546725243453207,1.8793557318791028,0.41241334264469054,0.43229596523976194,0.21299280168531895,0.1598999999999997,0.31980007817384853,0.05
14,0.48435000000000006,False,0.0,0.28980000000000006,0.9382999999999999,0.0,0.0,0.31636172448919814,0.14878972220274356,1.8620464148292377,0.1816574089749022,1.6474555555555557,0.3363959984568461,0.28650531026183057,0.18047161955983948,0.07990000000000021,0.23970000000000058,0.05
15,0.5602400000000001,True,0.0,0.3881,0.9619,0.0,0.0,0.42106541031704625,0.1661888104990701,2.0712558483689114,0.3581089792513892,1.6682555222017459,0.47353607772170836,0.38228612560617214,0.20892784974146397,0.07990000000000017,0.23970000000000044,0.05
