condition,plasticity_rule,eta,run_id,seed,mother_survival_tick,child_survival_tick,mean_deficit,final_mother_energy,final_child_hunger,final_child_warmth,p_Forage,p_Care,p_Self,p_Protect
fixed,fixed,,0,1000,1000,100,2.3917582939700153,97.10000000000011,100.0,0.0,0.091,0.0,0.886,0.023
fixed,fixed,,1,1001,1000,100,2.2444531846123126,71.40000000000089,100.0,0.0,0.049,0.001,0.921,0.029
fixed,fixed,,2,1002,1000,160,2.7659278628056216,73.00000000000031,100.0,11.0,0.468,0.08,0.441,0.011
fixed,fixed,,3,1003,1000,100,2.649964734537206,98.30000000000004,80.0,0.0,0.907,0.006,0.077,0.01
fixed,fixed,,4,1004,965,100,2.8433815357301895,0.0,100.0,39.0,0.0,0.04455958549222798,0.9554404145077721,0.0
fixed,fixed,,5,1005,1000,15,1.666153312649436,97.40000000000009,15.0,42.5,0.081,0.002,0.916,0.001
fixed,fixed,,6,1006,1000,100,2.2552571560957277,98.50000000000003,100.0,40.0,0.111,0.049,0.84,0.0
fixed,fixed,,7,1007,1000,100,2.162209560256847,93.70000000000041,100.0,49.5,0.105,0.103,0.792,0.0
fixed,fixed,,8,1008,1000,100,2.5031349587679514,97.3000000000001,100.0,0.0,0.88,0.002,0.118,0.0
fixed,fixed,,9,1009,1000,200,2.548242439945727,89.80000000000214,100.0,28.5,0.839,0.096,0.063,0.002
fixed,fixed,,10,1010,1000,100,2.3823025502657593,98.30000000000004,100.0,48.5,0.903,0.062,0.035,0.0
fixed,fixed,,11,1011,1000,100,1.899826536674258,96.90000000000012,100.0,49.5,0.079,0.1,0.821,0.0
fixed,fixed,,12,1012,1000,108,2.7477664387354164,69.39999999999951,34.0,0.0,0.122,0.009,0.859,0.01
fixed,fixed,,13,1013,1000,100,2.5687330817930234,98.30000000000004,80.0,0.0,0.904,0.0,0.091,0.005
fixed,fixed,,14,1014,632,220,2.730469879902697,0.0,100.0,22.5,0.15981012658227847,0.19936708860759494,0.6392405063291139,0.0015822784810126582
fixed,fixed,,15,1015,1000,143,2.473697526765253,97.60000000000008,43.0,29.0,0.893,0.078,0.029,0.0
fixed,fixed,,16,1016,1000,140,2.6838200857083447,58.39999999999883,100.0,19.0,0.131,0.063,0.792,0.014
fixed,fixed,,17,1017,1000,65,2.313333984906592,97.50000000000009,65.0,17.5,0.12,0.0,0.873,0.007
fixed,fixed,,18,1018,1000,100,2.510543073997687,97.90000000000006,80.0,0.0,0.908,0.001,0.091,0.0
fixed,fixed,,19,1019,1000,135,2.4425016272036792,96.7000000000003,95.0,0.0,0.098,0.035,0.857,0.01
fixed,fixed,,20,1020,1000,57,2.322981438771649,98.50000000000003,57.0,21.5,0.101,0.0,0.881,0.018
fixed,fixed,,21,1021,1000,100,2.533406732449098,96.90000000000012,100.0,0.0,0.899,0.0,0.078,0.023
fixed,fixed,,22,1022,1000,100,2.282805503608417,98.50000000000003,100.0,0.0,0.088,0.0,0.891,0.021
fixed,fixed,,23,1023,1000,13,2.3784165126816763,96.90000000000012,13.0,43.5,0.984,0.001,0.015,0.0
fixed,fixed,,24,1024,1000,68,2.480878051638026,100,68.0,16.0,0.928,0.0,0.072,0.0
fixed,fixed,,25,1025,1000,160,2.8354524981318554,81.20000000000064,60.0,0.0,0.884,0.06,0.056,0.0
fixed,fixed,,26,1026,1000,114,2.783754264055212,92.60000000000187,36.0,0.0,0.784,0.007,0.203,0.006
