generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.77196,True,0,0.0,0.37729999999999997,0.9410999999999999,0.0,0.0,0.0,0.0,1.8783814089971405,0.20123111367552243,1.649791666665804,0.34128842732100295,0.386198593554312,0.15955275796682142,0.0796999999999999,0.2390999999999997,0.0
1,0.8105199999999999,True,0,0.0,0.3684,1.0,0.0,0.0,0.0,0.0,1.8041832790853298,0.12686137058702945,1.5326000000009625,0.0549894535365736,0.297989452319114,0.07101934236832459,0.0,0.0,0.05
2,0.7739,False,0,0.0,0.32799999999999996,0.9650000000000001,0.0,0.0,0.0,0.0,1.808951371433169,0.2865748154626434,1.6571872691582061,0.3444462243113779,0.28436092812347086,0.16731269976595192,0.07950000000000013,0.2385000000000004,0.05
3,0.73163,False,0,0.0,0.3859,0.8798,0.0,0.0,0.0,0.0,1.928651259148214,0.27615008942708524,1.9083589582621425,0.8030758639319381,0.444036728436301,0.2322435686998294,0.2331999999999998,0.4942875276597616,0.05
4,0.7575499999999998,False,0,0.0,0.3414,0.9359,0.0,0.0,0.0,0.0,1.7981508929854697,0.15544894075288987,1.6632555555555555,0.33273688136757923,0.32298119972043926,0.16949850641682768,0.07990000000000017,0.23970000000000044,0.05
5,0.7666499999999999,False,0,0.0,0.35819999999999996,0.9417,0.0,0.0,0.0,0.0,1.8429083907402792,0.17656912638813577,1.6392018280785101,0.3399316085991017,0.33033461002961273,0.17771152516316002,0.09120000000000059,0.23803898840316104,0.05
6,0.74352,False,0,0.0,0.39239999999999997,0.8939999999999999,0.0,0.0,0.0,0.0,1.9184967625066576,0.18750083007897897,1.7679266639367213,0.4498126672961232,0.4097344417296506,0.20016780984589735,0.15950000000000036,0.3190000783698971,0.05
7,0.7903,False,0,0.0,0.301,1.0,0.0,0.0,0.0,0.0,1.7324614959925533,0.1288093202800018,1.5550666666666675,0.058546050251064706,0.24132072597103313,0.11505932618986084,0.012200000000000571,0.036600000000001714,0.05
8,0.7294199999999998,False,0,0.0,0.3671,0.8846999999999999,0.0,0.0,0.0,0.0,1.8729818180667503,0.18480419323825475,2.0486667685527005,1.0312006320245195,0.4160804925575012,0.21207356944215175,0.3284000000000005,0.621119988408037,0.05
9,0.80062,False,0,0.0,0.33540000000000003,1.0,0.0,0.0,0.0,0.0,1.7566112834189256,0.09365978789097247,1.5202888888888897,0.05761053144463754,0.27227047148488365,0.05583073292288654,0.013600000000000478,0.04080000000000143,0.05
10,0.6742499999999999,False,0,0.0,0.333,0.8205,0.0,0.0,0.0,0.0,1.9170688862693557,0.2817241071883595,1.8778889691398128,0.5357187089691918,0.43226793822616927,0.27176005933261693,0.2401000000000006,0.3654538137713167,0.05
11,0.6342499999999999,False,0,0.0,0.3413,0.7597999999999999,0.0,0.0,0.0,0.0,1.9225297046731853,0.2662932135274625,2.2326203864040597,0.91726651681662,0.5024614527613801,0.2928904307680425,0.4687000000000001,0.6207017077469662,0.05
12,0.63283,False,0,0.0,0.33049999999999996,0.7624000000000001,0.0,0.0,0.0,0.0,1.9194472258389215,0.28930274868310546,2.1013100316462774,0.8283944164077574,0.4797213343839566,0.278377687538555,0.3965000000000002,0.5297494218968061,0.05
13,0.73397,False,0,0.0,0.3811,0.8852,0.0,0.0,0.0,0.0,1.9226589416755129,0.20894453004468963,1.743303693243384,0.4599171900939227,0.4395156832320907,0.22245604700990623,0.15970000000000004,0.31940007827175004,0.05
14,0.78464,False,0,0.0,0.39180000000000004,0.9530000000000001,0.0,0.0,0.0,0.0,1.8375572576433137,0.13963299198376955,1.631411111111111,0.33979030952110006,0.3400884063368572,0.11973471423822114,0.07980000000000018,0.23940000000000053,0.05
