tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,m0_u_fixed_forage_child_hunger,m0_u_fixed_forage_energy_deficit,m0_u_fixed_forage_low_fear,m0_u_fixed_care_child_warmth,m0_u_fixed_care_closeness_deficit,m0_u_fixed_care_bonding,m0_u_fixed_self_fatigue,m0_u_fixed_self_fear,m0_u_fixed_self_stress,m0_u_fixed_protect_child_injury,m0_u_fixed_protect_fear,m0_u_fixed_protect_closeness_deficit,m0_u_fixed_protect_bonding,m0_u_plastic_forage_child_hunger,m0_u_plastic_forage_energy_deficit,m0_u_plastic_forage_low_fear,m0_u_plastic_care_child_warmth,m0_u_plastic_care_closeness_deficit,m0_u_plastic_care_bonding,m0_u_plastic_self_fatigue,m0_u_plastic_self_fear,m0_u_plastic_self_stress,m0_u_plastic_protect_child_injury,m0_u_plastic_protect_fear,m0_u_plastic_protect_closeness_deficit,m0_u_plastic_protect_bonding,c0_hunger,c0_warmth,c0_injury
1,0,99.5,0.5,100.0,0.0,0.16666666666666666,86.66666666666667,43.333333333333336,0.16666666666666666,28.791764236751597,45.35904754276595,0.05642737726701586,38.313919098974075,0,1,0,0,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.5,49.5,0.0
2,0,99.0,1.0,100.0,0.0,0.47222222222222227,93.33333333333333,68.33333333333333,0.4166666666666667,29.028189650391006,47.986867501786186,0.3005888843930611,40.27513397843295,0,1,0,0,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,1.0,49.0,0.0
3,0,98.7,1.1,100.0,0.0,0.875,100.0,84.16666666666666,0.7083333333333334,29.26461506403042,50.61468746080645,0.5776663615915322,42.23634885789183,0,1,0,0,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,1.5,50.0,0.0
4,0,98.4,1.2000000000000002,100.0,0.0,1.0069444444444446,100.0,92.08333333333333,0.6875,29.501040477669825,49.95152181060439,0.6504802983552229,42.23634885789183,0,1,0,0,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,2.0,50.0,0.0
5,0,98.10000000000001,1.3000000000000003,100.0,0.0,1.121527777777778,100.0,96.04166666666666,0.7326388888888888,29.737465891309235,49.95152181060439,0.7174163833202664,42.23634885789183,0,1,0,0,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,0.9614255050318479,0.4912254261108849,0.5806023689830184,0.8985089135745095,0.9333367305191125,0.8779114529476901,0.24150694172266204,0.3261137976263459,0.2905438685087388,0.8533689039248487,0.4975902549840165,0.9230807826265168,0.8637456976775443,2.5,50.0,0.0
