tick,plasticity_this_tick,m0_energy,m0_fatigue,m0_bonding,m0_fear_threat,m0_stress,m0_closeness_child,m0_OT,m0_CORT,m0_mot_Forage,m0_mot_Care,m0_mot_Self,m0_mot_Protect,m0_sel_Forage,m0_sel_Care,m0_sel_Self,m0_sel_Protect,c0_hunger,c0_warmth,c0_injury
101,0,65.9000000000002,4.1,5.5358683268225075,18.800994922555137,47.47137175862767,75.85786437626905,0.011596679687499608,35.498639627189526,35.52454235739318,20.799614759579605,21.71346389494474,14.982758055964094,1,0,0,0,50.5,42.5,0.0
102,0,65.4000000000002,4.6,15.83656692414498,18.18729402568114,49.2800085070065,85.85786437626905,42.934730527978274,35.75162863430819,36.03981660499432,27.84934993110847,22.67817633134029,17.24259701201001,1,0,0,0,51.0,42.0,0.0
103,0,65.10000000000021,4.699999999999999,40.15358288947289,15.809375765378672,50.23075625127747,100.0,71.46736526398914,34.83074459662387,36.792090679088616,38.38892244686727,23.217924898922092,19.987067906508415,0,1,0,0,51.5,46.5,0.0
104,0,64.80000000000021,4.799999999999999,73.02042420547016,7.904687882689336,48.66208491297292,100.0,85.73368263199457,29.0487056316452,38.18329472366566,37.79862891949655,22.270739744334094,17.123497777639887,1,0,0,0,42.0,46.0,0.0
105,0,64.50000000000021,4.899999999999999,100.0,3.952343941344668,42.3710625168202,100.0,92.86684131599728,25.31324170471142,35.56293213095342,40.083986761592406,19.643381023368924,15.982158693163088,0,1,0,0,42.5,50.0,0.0
106,0,64.20000000000022,4.999999999999998,100.0,1.976171970672334,35.82961536265102,100.0,96.43342065799864,22.712176407911194,36.15771660068887,37.44215959750146,17.01213711565841,15.03997416612539,0,1,0,0,43.0,50.0,0.0
107,0,63.90000000000021,5.099999999999998,100.0,0.988085985336167,31.088701585297795,100.0,98.21671032899931,21.567199315066635,36.619764474617384,37.44215959750146,15.14186004829842,14.56888190260654,0,1,0,0,43.5,50.0,0.0
108,0,63.60000000000021,5.1999999999999975,100.0,0.4940429926680835,28.062779226116497,100.0,99.10835516449966,21.15026632419991,37.015444050642444,37.44215959750146,13.97483028640056,14.333335770847112,0,1,0,0,44.0,50.0,0.0
109,0,63.3000000000002,5.299999999999997,100.0,0.24702149633404175,26.301714940903135,100.0,99.55417758224982,21.09735538432211,37.37793947771577,37.44215959750146,13.320806119877203,14.215562704967404,0,1,0,0,44.5,50.0,0.0
110,0,62.8000000000002,5.799999999999997,100.0,0.12351074816702087,25.376760875114726,100.0,99.77708879112491,21.226455469938763,37.72384283031321,37.44215959750146,13.003975722362805,14.156676172027545,1,0,0,0,45.0,49.5,0.0
111,0,62.3000000000002,6.299999999999997,100.0,2.6353485028906536,25.082813621370406,90.0,94.88854439556246,23.34006759861852,37.81924131119665,31.799342143638228,13.286487368681332,13.085502737763111,1,0,0,0,45.5,49.0,0.0
112,0,61.8000000000002,6.799999999999997,100.0,5.9623351921179495,26.644323288966042,80.0,47.44427219778123,26.110918870868723,37.8051350564119,26.156524689774997,14.343382638176372,12.402969930285481,1,0,0,0,46.0,48.5,0.0
113,0,61.3000000000002,7.299999999999997,100.0,14.696896348597072,29.624357443256354,70.0,23.722136098890616,32.54372304823747,37.064590984465625,20.513707235911763,16.2230881225781,14.298620128872555,1,0,0,0,46.5,48.0,0.0
114,0,60.8000000000002,7.799999999999997,97.26386735805598,11.993109114971158,36.33682963168413,60.0,11.861068049445308,31.379413262344862,37.86064134811364,14.672610404390179,19.029700563698654,10.665425573069715,1,0,0,0,47.0,47.5,0.0
115,0,60.3000000000002,8.299999999999997,91.31246770375063,17.71228331002368,38.57036671939184,50.0,5.930534024722654,35.84463691064221,37.52517558538376,8.598512755421572,20.468219358140658,10.959517782091673,1,0,0,0,47.5,47.0,0.0
