generation,n_runs,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,30,0.48608880503814283,0.6533172784591554,0.5099195192171169,0.49553459910085684,0.4833158743011641,0.5566617607431943,0.5389207123267556,0.5745396122872858,0.5947976650457864,0.539839424673237,0.35266318324302975,0.48363160492073776,0.4850253199526536
500,30,0.5819653495871779,0.6045334836534704,0.4516673199870772,0.574409850612327,0.5290380189008117,0.6954449483282108,0.47225063432284553,0.45026091515153455,0.5051525906408014,0.6223884704421211,0.44540809635008227,0.5059144939350197,0.5511770642092562
1000,30,0.5915466915133031,0.5922599757095794,0.44894931641896496,0.5688984354763318,0.5472051018861391,0.6961055001227615,0.46593869797332255,0.44772572115568643,0.5027842995423677,0.6133550221624642,0.44250189422439157,0.5031891500287222,0.5576925823479216
1500,30,0.5926794182353559,0.5951342374246891,0.45570398590786415,0.5673599751175852,0.5459969680856391,0.6933615741364709,0.472776528949217,0.4439158324296394,0.5054518845058049,0.6154024462029922,0.4431338955557551,0.504678100762964,0.5544657170418689
2000,30,0.5876702069227283,0.5982911211562745,0.4535392887618464,0.569068772750121,0.5453080600249668,0.7005655654359679,0.4763543401282567,0.43755011610511063,0.5065253730896632,0.6236049494049742,0.4487862193841987,0.5004960800058207,0.5584011489277596
2500,30,0.5906509353168162,0.6004414506865408,0.4546327761034765,0.570766413934744,0.5490480058451622,0.7080916702209306,0.4808907756553913,0.4369113846661355,0.5052539535814353,0.6249649349300882,0.45136049642772946,0.5029119323536214,0.5560154071235074
3000,30,0.5889403455668415,0.6030773635233192,0.45842928884889056,0.5737088509023027,0.5508391833111325,0.7024715976715292,0.4783762492467396,0.43494014065811687,0.5054280054317645,0.623894565278552,0.45532876983726905,0.5040506297488758,0.558221252581952
