generation,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.9248357076505617,0.49308678494144076,0.5323844269050346,0.9761514928204013,0.8882923312638332,0.888293152152541,0.37896064077536956,0.3383717364576454,0.27652628070325236,0.9271280021792982,0.4768291153593769,0.8767135123214872,0.9120981135783017
500,0.871519603919668,0.5734642389813732,0.5618887990845474,0.898907216664549,0.8716266958555388,0.9063162188440484,0.3639579823067106,0.42858807959393785,0.404295940384553,0.9152480199418879,0.29028942746447095,0.9150128769990541,0.911633961029425
1000,0.8751320606314781,0.5453561218846369,0.49078587422615083,0.9096588138117218,0.9252950249777874,0.9497948447767195,0.32347120893722003,0.36602668382505404,0.3900865462768141,0.9936375954316711,0.32256933141244826,0.9502111108387657,0.9561268086186997
1500,0.8870603669385819,0.6537040852469852,0.4458887749441393,0.9086747760953083,0.9066420915945916,0.8955377676186028,0.31581702228673725,0.386893148908076,0.4162980552744156,1.0,0.34579270489862624,1.0,0.9594315209336485
2000,0.8754942505539908,0.5949050950586298,0.41151258334889096,0.8878450738127004,0.9123168089058787,0.8676970297357495,0.27236056016184074,0.4248816918643683,0.4348287538718084,0.9730385231605216,0.3711066284730056,0.9773421053157032,0.9625847724080545
2500,0.8754942505539908,0.5949050950586298,0.41151258334889096,0.8878450738127004,0.9123168089058787,0.8676970297357495,0.27236056016184074,0.4248816918643683,0.4348287538718084,0.9730385231605216,0.3711066284730056,0.9773421053157032,0.9625847724080545
3000,0.8754942505539908,0.5949050950586298,0.41151258334889096,0.8878450738127004,0.9123168089058787,0.8676970297357495,0.27236056016184074,0.4248816918643683,0.4348287538718084,0.9730385231605216,0.3711066284730056,0.9773421053157032,0.9625847724080545
