generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.38825,True,0.0,0.15999999999999998,0.8581,60.4,0.0,0.2798064427737522,0.19266299688338231,1.9228116189583413,0.5052581856808077,2.271134641441186,1.5587478629478144,0.27684910438524957,0.3361738356563566,0.3622189126886478,0.7293464827628243,0.0
1,0.41295000000000004,True,0.0,0.25989999999999996,0.776,52.5,0.0,0.45697980725967824,0.03741659433655923,2.270768158570651,0.5857459100402751,2.870587972810511,1.8655121646391404,0.44983005182396046,0.3435955251436445,0.7122025935837991,0.9459595257952025,0.05
2,0.4777,True,0.0,0.1881,0.9289,40.4,0.0,0.3217014763409963,0.17125654532836074,1.8739684425128402,0.36292972399492307,1.86375368201204,1.0822909829464515,0.244774773885424,0.24038615677886155,0.2034958176357709,0.6104874529073127,0.05
3,0.49069999999999997,True,0.0,0.1558,1.0,43.6,0.0,0.2825071563041995,0.1479138342552291,1.7233933753382893,0.10011920264318308,1.54480138888889,0.1289041971946565,0.12651393891448953,0.04683335894161143,0.03150000000000101,0.08993025075023625,0.05
4,0.5157,True,0.0,0.15140000000000003,1.0,30.0,0.0,0.2334657737931698,0.1246929634255715,1.6933821480069249,0.07901572849646153,1.5008,0.002400000000000002,0.12510407161477133,0.040190332120902054,3.2794279515414394e-242,0.0,0.05
5,0.5007,False,0.0,0.19640000000000002,0.9308,31.45,0.0,0.34095253210182824,0.13152415880479182,1.8838972760520523,0.45077477761400797,1.7168877500900905,0.6506632502702715,0.2585540358665039,0.3185266614303138,0.2194999997655372,0.6584999992966115,0.05
6,0.44650000000000006,False,0.0,0.16999999999999998,0.8870000000000001,41.0,0.0,0.3097452534296802,0.1475536410226418,1.8716935636255692,0.36600961375382757,1.8272382709147443,0.6895708590585065,0.24641106687935724,0.25991548562062045,0.2788932993631534,0.6180954291083762,0.05
7,0.48614999999999997,False,0.0,0.21230000000000002,1.0,60.0,0.0,0.33051687671713903,0.15060522155722855,1.8128988506904562,0.2201957839196643,1.5057,0.017099999999999983,0.21121657443872782,0.14519697798416434,2.4099198414955484e-182,0.0,0.05
8,0.44669999999999993,False,0.0,0.1933,0.8600999999999999,40.0,0.0,0.31692607036460785,0.14083401139171417,1.941532165770503,0.49115721796544826,2.1735658331058847,1.3872366413591708,0.28601349998217096,0.3292492243617902,0.26199496369241937,0.6080941489795223,0.05
9,0.5137,False,0.0,0.1474,1.0,30.0,0.0,0.2681234584158071,0.14821619854809875,1.6720853176212962,0.07784502270688216,1.5253,0.03870155035654255,0.12826264933729203,0.051958184315860335,2.63284493270148e-242,0.0,0.05
