generation,fitness,accepted,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mutation_sigma
0,0.32673,True,0.0,0.29300000000000004,0.4721,10.0,0.0,0.3605,0.09253843045519582,2.2493825160037497,0.2839866797127857,2.873723287587363,0.8391164066548792,0.742332280640951,0.27851274883796157,0.9280228652744338,0.588922926902154,0.0
1,0.3332800000000001,True,0.0,0.28040000000000004,0.5900000000000001,20.0,0.0,0.36329897793025834,0.10653057373707019,2.1480129829034387,0.3306832549944377,2.707610709552853,0.9296237754578367,0.6265263208458064,0.3205706510351039,0.9609412926945702,0.8069417722284143,0.05
2,0.31133,False,0.0,0.22690000000000002,0.7969999999999999,43.3,0.0,0.29388760084727955,0.16557436221288566,1.9658431920171673,0.3395077864107975,2.1035006805121936,0.8833599632750512,0.4149566259619048,0.33552843965777673,0.559396450729277,0.8650388042579905,0.05
3,0.36187,True,0.0,0.3149,0.6048,20.0,0.0,0.4008663454180762,0.02772083051505574,2.2180699416757017,0.3047426260741333,2.536320572941711,0.8898634544259174,0.6386713677067755,0.2910241172938351,0.7449474378330742,0.6999277779075334,0.05
4,0.31321,False,0.0,0.199,0.8676999999999999,43.2,0.0,0.29966841081435164,0.1353491429219856,1.8692365699443036,0.3155975821014966,2.2063198141239466,1.07339363765332,0.32356935970286876,0.25818874168929323,0.41566968180606356,0.6203831006616565,0.05
5,0.37906000000000006,True,0.0,0.28240000000000004,0.8046,30.0,0.0,0.3950937950635224,0.014593747774344813,2.0287885775089225,0.3410440283396872,2.0398077329556137,0.8907855730954476,0.4619208402791881,0.3094572921503952,0.36532563137777113,0.6168478892054636,0.05
6,0.34516,False,0.0,0.2864,0.5996,17.6,0.0,0.3774516351451541,0.10407786830764001,2.180785264546693,0.3899958491135585,2.905510593118841,1.2126638533609275,0.6546698301480036,0.37824160806739315,1.0267363464593937,0.8860768640932067,0.05
7,0.34361,False,0.0,0.263,0.7316999999999999,30.0,0.0,0.3455309658840304,0.10861159514717884,2.0346936839334306,0.3505900081334385,2.1890425100535973,0.8618350028268775,0.49819242197318453,0.35118824709764396,0.5599102657009895,0.7681236007553881,0.05
8,0.38448,True,0.0,0.2952,0.7928,30.0,0.0,0.39861846263153466,0.01244989959798874,2.0332424015972483,0.2744804871187589,2.1740804232165787,0.9900068616658104,0.47933685539892734,0.28061719188436385,0.42115859988310095,0.6915411450072948,0.05
9,0.32004,False,0.0,0.2439,0.8097,46.8,0.0,0.37494494792822924,0.09678696629463693,1.953528222775527,0.28055599307538515,2.022796250087521,0.7962522717304079,0.3924594612601443,0.28286944054458607,0.21780000000111216,0.33746638351292857,0.05
10,0.32591,False,0.0,0.2678,0.6615,30.0,0.0,0.3777925491035428,0.09506366131784624,2.046733724268196,0.2723188688309281,2.4686824765408604,0.8452965709492344,0.5687539614008765,0.3284051676321365,0.8024817692742532,0.7819404217676508,0.05
11,0.40221999999999997,True,0.0,0.2909,0.7952999999999999,20.0,0.0,0.39272298621165985,0.020952326839756976,1.9815260405993906,0.27588358286997977,2.177756875654413,0.966524419476543,0.44866971637037106,0.28420728371465237,0.5379563597081327,0.8213819241712645,0.05
12,0.35297000000000006,False,0.0,0.2506,0.6745,12.4,0.0,0.3594730198948105,0.10558049473935298,2.0112164961090286,0.34401166966630436,2.431757869817512,1.1976540743980386,0.5183378433045489,0.33290078551999314,0.6177758200495054,0.7279312763287482,0.05
13,0.36802,False,0.0,0.2668,0.7402,20.4,0.0,0.3552339746843272,0.10808977683044463,2.0107965721053485,0.29348960542998964,2.217820005729753,0.9544185714638653,0.5040773359663744,0.3228088740290804,0.5582405400524132,0.7730741043351185,0.05
14,0.34374,False,0.0,0.2893,0.5961000000000001,18.8,0.0,0.37390255432376357,0.013349989596333878,2.167585016054858,0.31474994878123747,2.7400841207981523,1.0193537314482748,0.6149638089275826,0.28293963551780377,0.8597138185465691,0.7891956807398706,0.05
15,0.25744000000000006,False,0.0,0.2499,0.6537000000000001,56.8,0.0,0.3229912676399831,0.1411863403758024,2.138836206818337,0.43603997370024244,2.737895694853809,1.0547794648108157,0.5334321834422519,0.36753272093368544,1.0013058043608511,0.9686077817461177,0.05
16,0.25303,False,0.0,0.20659999999999998,0.7947,65.0,0.0,0.28667372917152295,0.16235941331548848,1.949577541377883,0.4347672594010216,2.226669982776364,1.1110998262627885,0.3889667148363121,0.3572887442194472,0.51878140313295,0.8394847482209971,0.05
17,0.35104,False,0.0,0.2786,0.5973999999999999,11.6,0.0,0.4002783056818887,0.01238726945070805,2.1442925117825116,0.28576379937305907,2.476129319209638,0.798492100556775,0.6315127222796515,0.2972418838556023,0.6916162276199895,0.592739258128403,0.05
18,0.38123000000000007,False,0.0,0.2629,0.748,13.6,0.0,0.36377735500553604,0.0118192404343276,1.9381403581171408,0.2576108686506698,2.1429068956103228,0.7655003517415779,0.450865444335425,0.26085203310526334,0.43770688132923635,0.5819855902221279,0.05
19,0.34771,False,0.0,0.29220000000000007,0.5438999999999999,10.0,0.0,0.383731626440651,0.010198039027185586,2.1793505063583742,0.32664369127042514,2.7249746219982107,0.8420711730557745,0.6938650061195643,0.28824375581052863,0.9043463778878958,0.6589334694971712,0.05
20,0.35921,False,0.0,0.33699999999999997,0.4737,9.4,0.0,0.3923775219391637,0.025798363427852484,2.4442425966520083,0.39209381114592895,3.1780360035062345,1.0300774786560754,0.7802347600102925,0.27092085827441076,1.2917478005185832,0.7816214274867539,0.05
21,0.34446000000000004,False,0.0,0.28340000000000004,0.7535999999999999,40.0,0.0,0.3809772934876752,0.027280646565350137,2.0827864098757485,0.3093944324233857,2.3148992858187007,1.0885792890293076,0.5156516028009175,0.3152871141733814,0.5852630879013919,0.800429513218486,0.05
22,0.35264999999999996,False,0.0,0.2724,0.7399,30.0,0.0,0.3946044085317713,0.026767207731552757,2.023597040157051,0.4098975974158718,2.064972101666927,0.6992375087348938,0.49991891141321043,0.339237435050932,0.42627216138263135,0.5731093086580674,0.05
23,0.23115000000000005,False,0.0,0.22710000000000002,0.6646,63.6,0.0,0.30403848879969025,0.17061086482004734,2.1285795014291398,0.4236294768094124,2.6445446998616378,1.1390931991347832,0.5206877818737622,0.36651621509783666,0.7640250572244245,0.8336089504693089,0.05
24,0.38501,False,0.0,0.275,0.6737,4.8,0.0,0.37726875337555665,0.015550098249064415,2.071946960727561,0.3223945554321567,2.4741168603339427,0.9186016085480813,0.5812556476602663,0.32152657803442336,0.7304352147485311,0.7733606170529945,0.05
25,0.3121900000000001,False,0.0,0.29600000000000004,0.6713,48.2,0.0,0.414109313617666,0.020960279896350006,2.181803089434063,0.4253311236692653,2.3586317437961903,0.8428844562836648,0.5780920732364974,0.32042098414198394,0.7379233278673578,0.7906596225893036,0.05
26,0.31191,False,0.0,0.21309999999999998,0.8757999999999999,50.0,0.0,0.3125433430301875,0.1512567463523923,1.8288042917049605,0.21974942770189396,1.9550611648278278,0.7267813749772454,0.31821972347485294,0.2543213116568976,0.32143893645167604,0.6554236600570578,0.05
27,0.36944,False,0.0,0.2992,0.6,10.0,0.0,0.3875936658373583,0.016773822197433463,2.1293865182865606,0.23307016763073135,2.7924358138436878,1.0999059948342629,0.6424185685091129,0.29189037461492234,0.9669893676990723,0.8322624784824132,0.05
28,0.3951,False,0.0,0.293,0.6599999999999999,4.0,0.0,0.4063651520900696,0.02403931964280375,2.151903414143436,0.44597638979433135,2.6117071134407417,1.1014023371965107,0.5787436996710824,0.35784733572566113,0.9260614563221308,0.9308888917498024,0.05
29,0.37125,False,0.0,0.2749,0.7293999999999999,20.0,0.0,0.3656930720028703,0.09605201695451322,2.0098929785150466,0.3022247900446635,2.383348707252835,1.03035841739282,0.5171231781482974,0.3298132478428303,0.6252855334303621,0.7725082295454835,0.05
