run_dir,csv_path,world,plasticity,init,seed,n_generations,asymp_fitness,asymp_maternal_fraction,asymp_frac_care,asymp_frac_protect,asymp_frac_forage,asymp_frac_self,asymp_child_ttd_norm,asymp_mother_ttd_norm,asymp_u_drift_end,asymp_du_plastic,asymp_du_plastic_peak,asymp_plastic_active_frac,asymp_lr_eff
P1_pro_maternal_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed46/lineage_generations.csv,,P1,pro_maternal,46,3001,0.3562,0.3296761032094459,0.3238741530163079,0.0058019501931378,0.6388372907684334,0.0314866060221206,0.2633,0.6001000000000001,0.3786748165830848,0.0325760983668947,0.1531745194775748,0.4007234909342595,0.0427081244570252
P1_pro_maternal_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed47/lineage_generations.csv,,P1,pro_maternal,47,3001,0.4560999999999999,0.0982699680511182,0.0942335463258786,0.0040364217252396,0.8057878594249201,0.0959421725239616,0.1809,0.9313,0.2547858940360462,0.0180428992835099,0.1206904517204458,0.3628207667731629,0.0401957692095849
P1_pro_maternal_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed48/lineage_generations.csv,,P1,pro_maternal,48,3001,0.4996,0.1035414634146341,0.1035414634146341,0.0,0.7686048780487804,0.1278536585365853,0.2183999999999999,0.9328,0.3040513967261313,0.0188295993385725,0.1338779766781699,0.3659829268292683,0.0408587905915241
P1_pro_maternal_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed49/lineage_generations.csv,,P1,pro_maternal,49,3001,0.3764999999999999,0.2625964970363646,0.2360143803065092,0.0265821167298552,0.7086330111603567,0.0287704918032786,0.2493,0.7917,0.3809085141889443,0.0303979138923493,0.15,0.4032299887862445,0.0419790644518734
P1_pro_maternal_seed50,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed50/lineage_generations.csv,,P1,pro_maternal,50,3001,0.4023,0.1328755868544601,0.1312755868544601,0.0016,0.8052525821596245,0.0618718309859154,0.2234,0.9426,0.2872925514301546,0.0211876833187304,0.1402426498312204,0.3544568075117371,0.0410611575279778
P1_pro_maternal_seed51,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_pro_maternal_seed51/lineage_generations.csv,,P1,pro_maternal,51,3001,0.41725,0.2635851644066982,0.2553451836001069,0.0082399808065912,0.6787417041480184,0.0576731314452833,0.3466999999999999,0.7704,0.382309282024513,0.0326040452074867,0.1674544848544757,0.399535540944912,0.0438771754611777
P1_random_uniform_seed42,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed42/lineage_generations.csv,,P1,random_uniform,42,3001,0.4177,0.0975210526315789,0.041825466893039,0.0556955857385399,0.8145823429541595,0.0878966044142614,0.214,0.8614,0.4066492780600635,0.0307543188636827,0.1369030262167134,0.4425740237691001,0.041857244165259
P1_random_uniform_seed43,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed43/lineage_generations.csv,,P1,random_uniform,43,3001,0.4263,0.4711056236222674,0.468628843436509,0.0024767801857585,0.5215268639023167,0.0073675124754158,0.297,0.6016,0.3994225056176633,0.0299625625504139,0.1350000000000001,0.3737849516754879,0.044004030551138
P1_random_uniform_seed44,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed44/lineage_generations.csv,,P1,random_uniform,44,3001,0.34175,0.5068082954829206,0.4819093226364032,0.0248989728465174,0.4440539515196304,0.0491377529974489,0.3193,0.5148,0.4896773255489178,0.0384379392942696,0.1650000000000001,0.4197816637494899,0.0450226383959665
P1_random_uniform_seed45,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed45/lineage_generations.csv,,P1,random_uniform,45,3001,0.57155,0.1776,0.1775,0.0001,0.8171000000000002,0.0053,0.1831,1.0,0.3310222746989283,0.0159796179499623,0.1124830092575977,0.3608,0.0403655540966772
P1_random_uniform_seed46,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed46/lineage_generations.csv,,P1,random_uniform,46,3001,0.5605,0.1064,0.1016,0.0048,0.8305,0.0631,0.2009999999999999,1.0,0.3365206768670759,0.0179499809509418,0.1364703958232208,0.3636,0.0398209653262986
P1_random_uniform_seed47,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed47/lineage_generations.csv,,P1,random_uniform,47,3001,0.55635,0.271205342462718,0.2658849342994527,0.0053204081632653,0.7045756342928051,0.0242190232444769,0.259,0.8600999999999999,0.3570309874078623,0.0233640868428292,0.1449692000000007,0.3882927740477299,0.041616699439332
P1_random_uniform_seed48,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed48/lineage_generations.csv,,P1,random_uniform,48,3001,0.5995,0.1977,0.1851,0.0126,0.799,0.0033,0.199,1.0,0.3364410978850158,0.0165275288019201,0.132552294276811,0.3742,0.0403845037196557
P1_random_uniform_seed49,/home/fibo1/foo_thesis/Senior_thesis/Emergence_results/normal/P1_random_uniform_seed49/lineage_generations.csv,,P1,random_uniform,49,3001,0.32015,0.2030546940128836,0.1219950123152709,0.0810596816976127,0.6923781025009473,0.104567203486169,0.2336999999999999,0.6736,0.3267212230599573,0.0358254724519995,0.1496026561824503,0.4437763152077806,0.0435924589708895
