generation,u_forage_child_hunger,u_forage_energy_deficit,u_forage_low_fear,u_care_child_warmth,u_care_closeness_deficit,u_care_bonding,u_self_fatigue,u_self_fear,u_self_stress,u_protect_child_injury,u_protect_fear,u_protect_closeness_deficit,u_protect_bonding
0,0.40581311290499433,0.9531785910894204,0.7453942447208348,0.6187255599871848,0.19821770842031466,0.19819479431939252,0.10517943155978948,0.8728673384861885,0.6210592611560484,0.7226689489062432,0.06955526958101232,0.9714143595538947,0.8408205087604007
500,0.420686676085788,0.818365963597882,0.43068965242994955,0.48120849578258085,0.3308461715061118,0.1225463774139606,0.15142569814087098,0.9158670652938657,0.6071617585076049,0.6495230427456441,0.22115911087919174,0.6905544833272952,0.9408479955462282
1000,0.38834486087740683,0.7869059832493659,0.35870438759904777,0.43851248090654493,0.4289495896010382,0.08294619870919837,0.09175675751867998,0.9318634583861044,0.601643520543012,0.6397433809031828,0.2916114091997962,0.7180108171052134,0.9143483489610544
1500,0.4206471280488434,0.7314972484251285,0.39282884806207957,0.453001704839456,0.5456013677066116,0.10314321951261358,0.0846946664652534,0.8890383605301333,0.5644313521952334,0.5984549261297749,0.3601663498953923,0.718909312856037,0.942610705159791
2000,0.4206471280488434,0.7314972484251285,0.39282884806207957,0.453001704839456,0.5456013677066116,0.10314321951261358,0.0846946664652534,0.8890383605301333,0.5644313521952334,0.5984549261297749,0.3601663498953923,0.718909312856037,0.942610705159791
2500,0.4206471280488434,0.7314972484251285,0.39282884806207957,0.453001704839456,0.5456013677066116,0.10314321951261358,0.0846946664652534,0.8890383605301333,0.5644313521952334,0.5984549261297749,0.3601663498953923,0.718909312856037,0.942610705159791
3000,0.4206471280488434,0.7314972484251285,0.39282884806207957,0.453001704839456,0.5456013677066116,0.10314321951261358,0.0846946664652534,0.8890383605301333,0.5644313521952334,0.5984549261297749,0.3601663498953923,0.718909312856037,0.942610705159791
