generation,fitness,accepted,num_threats_active,mean_child_survival,mean_child_ttd_norm,mean_mother_ttd_norm,mean_child_injury,std_child_survival,mean_u_drift_end,std_u_drift_end,mean_overall_deficit_episode,std_overall_deficit_episode,mean_overall_deficit_end,std_overall_deficit_end,mean_local_deficit_episode,std_local_deficit_episode,mean_local_deficit_end,std_local_deficit_end,mean_du_plastic_episode,std_du_plastic_episode,mean_peak_du_plastic_episode,std_peak_du_plastic_episode,mean_plastic_active_frac,std_plastic_active_frac,mean_lr_eff_episode,std_lr_eff_episode,mean_peak_u_drift_episode,std_peak_u_drift_episode,mutation_sigma
0,0.55221,True,0,0.0,0.36029999999999995,1.0,0.0,0.0,0.15865394156363083,0.008984379679888865,1.8120076430199845,0.08695296566192566,1.5267,0.029765920110085605,0.3270772544785198,0.06297964448896391,0.0,0.0,0.005382956802495205,0.0007243284584744474,0.015000000000000013,0.0,0.6332000000000001,0.03740000000000002,0.004070844043118999,9.414900297249292e-05,0.16189035780915467,0.0101093858720867,0.0
1,0.55421,True,0,0.0,0.3872,0.9439,0.0,0.0,0.16885916407731943,0.013614340225005751,1.851836595656972,0.13319813982127296,1.647255515020186,0.3386717122226797,0.35998634554408626,0.14193532615340207,0.07990000000000022,0.23970000000000063,0.005893940459852056,0.0020370662774434126,0.015000000000000013,0.0,0.6680553530751708,0.1393947125611914,0.004085445429017594,0.00011644548545130806,0.17606225526808958,0.019433894750717752,0.05
2,0.53359,False,0,0.0,0.3337,1.0,0.0,0.0,0.14095779961785232,0.01046894863003312,1.7525294674377434,0.0987011335340433,1.5260428247137614,0.035033975573843315,0.26019103866975934,0.051913206604045754,0.0,0.0,0.004404417911517989,0.0008396636325988049,0.015000000000000013,0.0,0.5491,0.059031262903651315,0.0040106788779752265,7.822346987738251e-05,0.14392743271636596,0.01191358087939543,0.05
3,0.53559,False,0,0.0,0.3894,0.8766999999999999,0.0,0.0,0.1726811964949712,0.01965852298823326,1.9505840416135953,0.22580622617003324,1.7442451414232412,0.4459637731081282,0.45462076060073675,0.21500565564536317,0.15949999999999998,0.3190019592416322,0.006820815368628651,0.0026052587002538333,0.015000000000000013,0.0,0.7247,0.17024103500625223,0.004125498592595022,0.0001411016229739861,0.17600816877504966,0.021678387729047205,0.05
4,0.53924,False,0,0.0,0.3695,0.9353,0.0,0.0,0.16026529614717194,0.008117816197008172,1.8549351715806437,0.1746442396390552,1.6647597366147733,0.33213702849791676,0.3659466040108923,0.16502020488547417,0.07989999999999994,0.23969999999999983,0.005733286417897264,0.002165031880774932,0.015000000000000013,0.0,0.6380167138810198,0.1514760808865763,0.004084124306046618,0.00014282094259037778,0.1635638903628473,0.011464994807890972,0.05
5,0.53616,False,0,0.0,0.3624,0.9416,0.0,0.0,0.14581799971786716,0.03559889432918282,1.8443954030679865,0.20772058384144515,1.6459286551286794,0.33817548838289546,0.3366783602115746,0.1906624987830188,0.09130000000000055,0.23833591840089938,0.005324973924295518,0.0024167934975218215,0.014500000000000013,0.0015000000000000011,0.6233980769230769,0.15805770378438286,0.004078076755739891,0.00014603405776219327,0.14975806583064932,0.036942171151325705,0.05
6,0.53337,False,0,0.0,0.37979999999999997,0.8916999999999999,0.0,0.0,0.15342032800344346,0.025944142531676265,1.8989825544883883,0.20303871567481185,1.787227641711412,0.4437371869047819,0.39697791381654546,0.20095379982155365,0.15970000000000018,0.3194000782717503,0.006404925513585291,0.0021633197744529756,0.015000000000000013,0.0,0.6858864806234003,0.11741637298532302,0.004128037750890365,0.0001242562757637808,0.16779711258757252,0.02273393830405211,0.05
7,0.50217,False,0,0.0,0.33449999999999996,0.8934,0.0,0.0,0.13857735380531477,0.03140653737496214,1.829504551258704,0.1958398407756633,1.770399999903368,0.44296137036065053,0.353304462247373,0.2093171155361801,0.17130000000000084,0.3141795824047136,0.005303055968621588,0.0023052404218324093,0.014500000000000013,0.0015000000000000011,0.6130700663535376,0.14548929013749673,0.004067717527657586,0.0001308006928600205,0.1397241030259534,0.03116132803449291,0.05
8,0.53215,False,0,0.0,0.35019999999999996,0.9567,0.0,0.0,0.1572214578760734,0.011376243798493942,1.826089988119778,0.1486657809514429,1.6556555555555608,0.3381061030410135,0.3498469665745871,0.1303760509939299,0.10310000000000101,0.23692380631755897,0.005341569002571012,0.0010310089638488759,0.015000000000000013,0.0,0.6217756613756614,0.058511067447598285,0.004065900706203272,0.00013292251672596323,0.1598130102397491,0.012044917678273268,0.05
9,0.5361100000000001,False,0,0.0,0.3373,1.0,0.0,0.0,0.1686003282416491,0.011047294586904758,1.7678991976131697,0.09927968717677303,1.5202888888888897,0.05761053144463754,0.2883248261413879,0.07030269297904984,0.013600000000000478,0.04080000000000143,0.004728620595587541,0.0009004787214848947,0.015000000000000013,0.0,0.5874,0.06078025995337631,0.004012088648615334,7.174505790471256e-05,0.17078849142415206,0.010994703923341743,0.05
10,0.48984,False,0,0.0,0.32549999999999996,0.8733000000000001,0.0,0.0,0.15705913231945348,0.039028928257866115,1.85412589583613,0.25076198078775597,1.7500999986399592,0.45647946811065065,0.3772873404924023,0.24033920378154625,0.16010000000000044,0.31870502035581444,0.005664529092364062,0.002622504862795426,0.014500000000000013,0.0015000000000000011,0.6507141593981356,0.1582974522659236,0.004041462627175798,0.00011657734765936907,0.16168530999383393,0.03800340948386592,0.05
11,0.47207,False,0,0.0,0.3233,0.8192,0.0,0.0,0.1575681027257887,0.021416968401155725,1.8763465111011342,0.2662866673844021,1.9844850431597085,0.7585681528486723,0.4424361555565685,0.282544290306219,0.3109999999999999,0.5094836601894116,0.006080935480166144,0.002857729765109957,0.015000000000000013,0.0,0.6759160589060309,0.16139794892460405,0.004042239277520629,0.00014978599186758372,0.159064940495766,0.020809906690556997,0.05
12,0.47802,False,0,0.0,0.3081,0.8745,0.0,0.0,0.16522178155419046,0.017783137644749335,1.7960841027790124,0.1476017192043201,1.7355444444427555,0.46050064663627954,0.36943040910139696,0.2071182711438266,0.15979999999999997,0.3196003128909607,0.005530820289418026,0.0020617019312247934,0.015000000000000013,0.0,0.6579922346675928,0.12631707145018575,0.004019975301124136,0.00011493904209316102,0.16732722377643733,0.017403431580425885,0.05
13,0.53268,False,0,0.0,0.3609,0.9335000000000001,0.0,0.0,0.15884848914244096,0.007818274336509173,1.8418598210102761,0.13331321375131186,1.634449990582631,0.3452231510986698,0.3806257450369418,0.17372804152136012,0.0809000000000002,0.2393852334627176,0.005888606567724576,0.0018527439829898037,0.015000000000000013,0.0,0.668,0.12375297976210513,0.004046579038152906,7.507362362501537e-05,0.16414310395275047,0.012591652366782056,0.05
14,0.5782499999999999,True,0,0.0,0.39749999999999996,1.0,0.0,0.0,0.15867064507484932,0.009676226324702865,1.870658419643205,0.13811815965878013,1.5339,0.051496504735758536,0.33522319707544684,0.08079137908848434,0.0,0.0,0.005491613083687426,0.001389832845904358,0.015000000000000013,0.0,0.6218,0.10020059880060597,0.004115276777332526,0.00010971580725952656,0.16732940785297123,0.011995143230693037,0.05
15,0.54745,False,0,0.0,0.3535,1.0,0.0,0.0,0.1473049224656771,0.015797842266921144,1.78984082441469,0.152764012161302,1.5449,0.06706929252646109,0.28678879939931,0.07576373725079119,0.0,0.0,0.004842648312728148,0.00132968181764941,0.015000000000000013,0.0,0.6050000000000001,0.10490948479522715,0.004050745959127219,0.00010750800696235009,0.15304244610211068,0.020836382272630776,0.05
